tab 	specimens
analysts	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	location	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	site	software_packages	specimen
	This study		mag	2.1	345.3	-19.9	2.1	1	10	-1	AP2-8a:LP-DIR-T	hargrave 2016-05-18 11:27:28	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP2-8	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-8a
	This study		mag	2.1	111.3	-54.1	2.1	1	10	0	AP2-8a:LP-DIR-T	hargrave 2016-05-18 11:27:28	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP2-8	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-8a
	This study		mag	2.1	93.8	-61.1	2.1	1	10	100	AP2-8a:LP-DIR-T	hargrave 2016-05-18 11:27:28	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP2-8	AP2	pmagpy-3.4.1: demag_gui.v.3.0	AP2-8a
	This study		mag	0.4	33.6	4.6	2.9	1	10	-1	AP3-1a:LP-DIR-T	hargrave 2016-05-18 11:29:00	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP3-1	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-1a
	This study		mag	0.4	114.0	-53.1	2.9	1	10	0	AP3-1a:LP-DIR-T	hargrave 2016-05-18 11:29:00	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP3-1	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-1a
	This study		mag	0.4	97.6	-60.8	2.9	1	10	100	AP3-1a:LP-DIR-T	hargrave 2016-05-18 11:29:00	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP3-1	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-1a
	This study		mag	1.1	26.5	29.1	1.4	1	10	-1	AP3-2a:LP-DIR-T	hargrave 2016-05-18 11:30:31	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP3-2	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-2a
	This study		mag	1.1	123.5	-47.5	1.4	1	10	0	AP3-2a:LP-DIR-T	hargrave 2016-05-18 11:30:31	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP3-2	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-2a
	This study		mag	1.1	112.0	-57.1	1.4	1	10	100	AP3-2a:LP-DIR-T	hargrave 2016-05-18 11:30:31	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP3-2	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-2a
	This study		mag	0.6	243.6	-54.7	1.2	1	10	-1	AP3-3a:LP-DIR-T	hargrave 2016-05-18 11:32:08	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP3-3	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-3a
	This study		mag	0.6	115.1	-48.2	1.2	1	10	0	AP3-3a:LP-DIR-T	hargrave 2016-05-18 11:32:08	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP3-3	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-3a
	This study		mag	0.6	101.9	-56.3	1.2	1	10	100	AP3-3a:LP-DIR-T	hargrave 2016-05-18 11:32:08	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP3-3	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-3a
	This study		mag	0.7	255.4	-54.2	2.3	1	10	-1	AP3-4a:LP-DIR-T	hargrave 2016-05-18 11:34:40	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP3-4	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-4a
	This study		mag	0.7	125.7	-46.5	2.3	1	10	0	AP3-4a:LP-DIR-T	hargrave 2016-05-18 11:34:40	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP3-4	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-4a
	This study		mag	0.7	115.1	-56.6	2.3	1	10	100	AP3-4a:LP-DIR-T	hargrave 2016-05-18 11:34:40	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP3-4	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-4a
	This study		mag	1.1	44.8	-49.4	1.3	1	10	-1	AP3-5a:LP-DIR-T	hargrave 2016-05-18 11:37:45	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP3-5	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-5a
	This study		mag	1.1	120.9	-49.1	1.3	1	10	0	AP3-5a:LP-DIR-T	hargrave 2016-05-18 11:37:45	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP3-5	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-5a
	This study		mag	1.1	108.1	-58.3	1.3	1	10	100	AP3-5a:LP-DIR-T	hargrave 2016-05-18 11:37:45	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP3-5	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-5a
	This study		mag	0.3	51.8	-35.9	1.9	1	10	-1	AP3-6a:LP-DIR-T	hargrave 2016-05-18 11:39:31	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP3-6	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-6a
	This study		mag	0.3	114.2	-49.8	1.9	1	10	0	AP3-6a:LP-DIR-T	hargrave 2016-05-18 11:39:31	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP3-6	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-6a
	This study		mag	0.3	99.9	-57.7	1.9	1	10	100	AP3-6a:LP-DIR-T	hargrave 2016-05-18 11:39:31	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP3-6	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-6a
	This study		mag	1.1	60.8	-46.9	2.2	1	10	-1	AP3-7a:LP-DIR-T	hargrave 2016-05-18 11:41:08	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP3-7	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-7a
	This study		mag	1.1	114.2	-53.4	2.2	1	10	0	AP3-7a:LP-DIR-T	hargrave 2016-05-18 11:41:08	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP3-7	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-7a
	This study		mag	1.1	97.7	-61.1	2.2	1	10	100	AP3-7a:LP-DIR-T	hargrave 2016-05-18 11:41:08	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP3-7	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-7a
	This study		mag	1.0	70.9	-53.5	2.1	1	10	-1	AP3-8a:LP-DIR-T	hargrave 2016-05-18 11:42:41	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP3-8	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-8a
	This study		mag	1.0	124.3	-53.2	2.1	1	10	0	AP3-8a:LP-DIR-T	hargrave 2016-05-18 11:42:41	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP3-8	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-8a
	This study		mag	1.0	110.0	-62.8	2.1	1	10	100	AP3-8a:LP-DIR-T	hargrave 2016-05-18 11:42:41	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP3-8	AP3	pmagpy-3.4.1: demag_gui.v.3.0	AP3-8a
	This study		mag	0.8	330.5	-19.9	3.8	1	10	-1	AP4-1a:LP-DIR-T	hargrave 2016-05-18 11:44:14	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP4-1	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-1a
	This study		mag	0.8	107.0	-61.7	3.8	1	10	0	AP4-1a:LP-DIR-T	hargrave 2016-05-18 11:44:14	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP4-1	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-1a
	This study		mag	0.8	81.9	-67.2	3.8	1	10	100	AP4-1a:LP-DIR-T	hargrave 2016-05-18 11:44:14	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP4-1	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-1a
	This study		mag	2.0	341.3	5.2	3.6	1	10	-1	AP4-2a:LP-DIR-T	hargrave 2016-05-18 11:45:42	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP4-2	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-2a
	This study		mag	2.0	113.1	-67.2	3.6	1	10	0	AP4-2a:LP-DIR-T	hargrave 2016-05-18 11:45:42	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP4-2	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-2a
	This study		mag	2.0	80.2	-73.2	3.6	1	10	100	AP4-2a:LP-DIR-T	hargrave 2016-05-18 11:45:42	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AP4-2	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-2a
	This study		mag	3.2	335.2	5.8	2.0	1	10	-1	AP4-3a:LP-DIR-T	hargrave 2016-05-18 11:47:09	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	AP4-3	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-3a
	This study		mag	3.2	106.0	-62.1	2.0	1	10	0	AP4-3a:LP-DIR-T	hargrave 2016-05-18 11:47:09	u	Agate Point	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AP4-3	AP4	pmagpy-3.4.1: demag_gui.v.3.0	AP4-3a
