tab 	sites
age	age_high	age_low	age_unit	bed_dip	bed_dip_direction	citations	description	dir_alpha95	dir_dec	dir_inc	dir_n_specimens	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	site	vgp_lat	vgp_lon
1106	1110	1103	Ma			This study	SI6(289.8 to 301.1)	5	101.7	-61	8			2740.8	48.7393		Simpson Island	272.3536	DE-FM:LP-DC4:LP-DIR-AF	SI6(289.8 to 301.1)	37.1	206.7
1106	1110	1103	Ma			This study	SI6(40.6 to 57.8)	5.3	95.2	-65.3	6			2491.6	48.7451		Simpson Island	272.3607	DE-FM:LP-DC4:LP-DIR-AF	SI6(40.6 to 57.8)	36.5	215.5
1106	1110	1103	Ma			This study	SI6(76.5 to 94.1)	6	105.2	-72.2	7			2527.5	48.7448		Simpson Island	272.3514	DE-FM:LP-DC4:LP-DIR-AF	SI6(76.5 to 94.1)	46.5	223
1106	1110	1103	Ma			This study	SI6(94.1 to 104.2)	3.8	103.4	-78.6	5			2545.1	48.7445		Simpson Island	272.3514	DE-FM:LP-DC4:LP-DIR-AF	SI6(94.1 to 104.2)	49	238.8
1106	1110	1103	Ma			This study	SI7(0.0 to 3.9)	2.4	128.6	-48.4	8			2798	48.7406		Simpson Island	272.3318	DE-FM:LP-DC4:LP-DIR-AF	SI7(0.0 to 3.9)	46.7	175.2
1106	1110	1103	Ma			This study	SI7(3.9 to 5.4)	9.2	132.8	-53.6	7			2801.9	48.7405		Simpson Island	272.3316	DE-FM:LP-DC4:LP-DIR-AF	SI7(3.9 to 5.4)	52.4	177.4
1106	1110	1103	Ma			This study	SI7(9.6 to 18.0)	6.9	120.1	-55.6	7			2807.6	48.7403		Simpson Island	272.3316	DE-FM:LP-DC4:LP-DIR-AF	SI7(9.6 to 18.0)	45.3	189.2
1106	1110	1103	Ma			This study	SI8(0.0 to 3.9)	2.2	126.1	-68.9	8			2336	48.7466		Simpson Island	272.3806	DE-FM:LP-DC4:LP-DIR-AF	SI8(0.0 to 3.9)	56.4	209.4
1106	1110	1103	Ma			This study	SI8(106.6 to 115.4)	7.2	103.8	-65.2	8			2442.6	48.7449		Simpson Island	272.3724	DE-FM:LP-DC4:LP-DIR-AF	SI8(106.6 to 115.4)	41.2	211.2
1106	1110	1103	Ma			This study	SI8(19.3 to 45.0)	5.5	108.7	-59.1	8			2355.3	48.7462		Simpson Island	272.38	DE-FM:LP-DC4:LP-DIR-AF	SI8(19.3 to 45.0)	40.1	200.5
