tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	sample_comp_name	sample_dec	sample_direction_type	sample_inc	sample_n	sample_n_lines	sample_n_planes	sample_tilt_correction
This study	North Shore Volcanics	ns023g	ns023	ns023g1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	305.6	l	14.5	1	1	0	0
This study	North Shore Volcanics	ns024b	ns024	ns024b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	156.2	l	-73.8	1	1	0	0
This study	North Shore Volcanics	ns024c	ns024	ns024c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	149.6	l	-68	1	1	0	0
This study	North Shore Volcanics	ns024e	ns024	ns024e2	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	139.6	l	-67.2	1	1	0	0
This study	North Shore Volcanics	ns024f	ns024	ns024f2	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	145.5	l	-69.6	1	1	0	0
This study	North Shore Volcanics	ns034a	ns034	ns034a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	293	l	42.8	1	1	0	0
This study	North Shore Volcanics	ns034b	ns034	ns034b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	300.4	l	40.3	1	1	0	0
This study	North Shore Volcanics	ns034c	ns034	ns034c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	305	l	38.8	1	1	0	0
This study	North Shore Volcanics	ns034d	ns034	ns034d1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	304.2	l	41.9	1	1	0	0
This study	North Shore Volcanics	ns034g	ns034	ns034g1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	294.3	l	46.5	1	1	0	0
