tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_name	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	North Shore Volcanics	ns026b	ns026	ns026b2	ns026b2 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.1	0.01	T		MAG	u	269.6	Magnetite remanence.	l	-63.8	1	9	-1
This study	North Shore Volcanics	ns026c	ns026	ns026c2	ns026c2 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.1	0.01	T		MAG	u	16.8	Magnetite remanence.	l	-26.4	1	9	-1
This study	North Shore Volcanics	ns026d	ns026	ns026d1	ns026d1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	773	K		MAG	u	30.7	Magnetite remanence.	l	-75.7	0.4	4	-1
This study	North Shore Volcanics	ns026e	ns026	ns026e2	ns026e2 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.15	0.01	T		MAG	u	277.6	Magnetite remanence.	l	-80.7	1.5	11	-1
This study	North Shore Volcanics	ns027a	ns027	ns027a1	ns027a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.18	0.005	T		MAG	u	289.9	Magnetite remanence.	l	68.4	2.6	13	-1
This study	North Shore Volcanics	ns027b	ns027	ns027b1	ns027b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	228.7	Magnetite remanence.	l	40.8	1.2	6	-1
This study	North Shore Volcanics	ns027c	ns027	ns027c1	ns027c1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	573	K		MAG	u	157.8	Magnetite remanence.	l	51.9	3.4	4	-1
This study	North Shore Volcanics	ns027d	ns027	ns027d2	ns027d2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	373	K		MAG	u	211.7	Magnetite remanence.	l	45.9	3	7	-1
This study	North Shore Volcanics	ns027e	ns027	ns027e2	ns027e2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	185.4	Magnetite remanence.	l	34.9	2.3	5	-1
This study	North Shore Volcanics	ns028a	ns028	ns028a1	ns028a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.18	0.02	T		MAG	u	223	Magnetite remanence.	l	48.4	1	10	-1
This study	North Shore Volcanics	ns028b	ns028	ns028b1	ns028b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	623	K		MAG	u	230	Magnetite remanence.	l	49.7	1	7	-1
This study	North Shore Volcanics	ns028c	ns028	ns028c1	ns028c1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	673	K		MAG	u	235.4	Magnetite remanence.	l	45.7	0.4	4	-1
This study	North Shore Volcanics	ns028e	ns028	ns028e2	ns028e2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	723	K		MAG	u	226.3	Magnetite remanence.	l	47.8	0.7	4	-1
This study	North Shore Volcanics	ns028f	ns028	ns028f2	ns028f2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	234.8	Magnetite remanence.	l	44.4	0.6	5	-1
This study	North Shore Volcanics	ns029a	ns029	ns029a1	ns029a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.08	0.01	T		MAG	u	255.9	Magnetite remanence.	l	31.7	1.8	8	-1
This study	North Shore Volcanics	ns029b	ns029	ns029b1	ns029b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	773	K		MAG	u	249.8	Magnetite remanence.	l	34.6	0.6	4	-1
This study	North Shore Volcanics	ns029c	ns029	ns029c1	ns029c1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	247.3	Magnetite remanence.	l	33.9	0.9	3	-1
This study	North Shore Volcanics	ns029e	ns029	ns029e1	ns029e1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	823	K		MAG	u	265.4	Magnetite remanence.	l	31.2	180	2	-1
This study	North Shore Volcanics	ns029f	ns029	ns029f2	ns029f2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	773	K		MAG	u	240.9	Magnetite remanence.	l	49.3	0.6	3	-1
This study	North Shore Volcanics	ns031a	ns031	ns031a1	ns031a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.18	0.02	T		MAG	u	232.2	Magnetite remanence.	l	39.9	1	10	-1
This study	North Shore Volcanics	ns031b	ns031	ns031b1	ns031b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	623	K		MAG	u	229.3	Magnetite remanence.	l	46.9	1.5	7	-1
This study	North Shore Volcanics	ns031c	ns031	ns031c1	ns031c1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	673	K		MAG	u	239	Magnetite remanence.	l	26.9	0.2	4	-1
This study	North Shore Volcanics	ns031d	ns031	ns031d2	ns031d2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	673	K		MAG	u	266.7	Magnetite remanence.	l	62.4	0.6	6	-1
This study	North Shore Volcanics	ns031f	ns031	ns031f1	ns031f1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	573	K		MAG	u	244.1	Magnetite remanence.	l	47.4	1	7	-1
This study	North Shore Volcanics	ns033a	ns033	ns033a1	ns033a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.18	0.03	T		MAG	u	155.2	Magnetite remanence.	l	9.2	1	9	-1
This study	North Shore Volcanics	ns033b	ns033	ns033b1	ns033b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	898	673	K		MAG	u	198.9	Magnetite remanence.	l	-1.3	2.8	7	-1
This study	North Shore Volcanics	ns033c	ns033	ns033c1	ns033c1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	235.2	Magnetite remanence.	l	-46.4	0.3	3	-1
This study	North Shore Volcanics	ns035a	ns035	ns035a1	ns035a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.18	0.03	T		MAG	u	40.6	Magnetite remanence.	l	53	0.7	9	-1
