tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	measurement_csd	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
This study	North Shore Volcanics	ns011f	ns011	ns011f1	ns011f1:LT-NO	LT-NO	0.2	2006:08:25:10:38:00.00	17.6	g	32.3	7.363e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns011g	ns011	ns011g1	ns011g1:LT-NO	LT-NO	0.4	2006:08:25:10:39:00.00	243.8	g	69	1.438e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns012a	ns012	ns012a1	ns012a1:LT-NO	LT-NO	0.4	2006:08:25:10:40:00.00	124.9	g	24.1	5.504e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns012a	ns012	ns012a2	ns012a2:LT-NO	LT-NO	0.4	2006:08:25:10:41:00.00	123.5	g	23.1	7.774e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns012b	ns012	ns012b1	ns012b1:LT-NO	LT-NO	0.3	2006:08:25:10:42:00.00	136.9	g	13.7	5.334e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns012c	ns012	ns012c1	ns012c1:LT-NO	LT-NO	0.5	2006:08:25:10:44:00.00	119.4	g	12.3	6.352e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns012c	ns012	ns012c2	ns012c2:LT-NO	LT-NO	0.2	2006:08:25:10:45:00.00	119.9	g	11.7	7.497e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns012d	ns012	ns012d1	ns012d1:LT-NO	LT-NO	0.4	2006:08:25:10:46:00.00	124.6	g	32.9	4.579e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns012d	ns012	ns012d2	ns012d2:LT-NO	LT-NO	0.3	2006:08:25:10:48:00.00	124.8	g	33.3	4.49e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns012d	ns012	ns012d3	ns012d3:LT-NO	LT-NO	0.3	2006:08:25:10:49:00.00	131	g	32	4.651e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns012e	ns012	ns012e1	ns012e1:LT-NO	LT-NO	0.3	2006:08:25:10:50:00.00	120.5	g	47.9	3.716e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns012e	ns012	ns012e2	ns012e2:LT-NO	LT-NO	0.2	2006:08:25:10:51:00.00	116.3	g	47.2	5.058e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns012f	ns012	ns012f1	ns012f1:LT-NO	LT-NO	0.5	2006:08:25:10:54:00.00	230.3	g	50.7	5.728e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns012g	ns012	ns012g1	ns012g1:LT-NO	LT-NO	0.4	2006:08:25:24:03:00.00	231.7	g	49.6	0.0001935	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns013a	ns013	ns013a1	ns013a1:LT-NO	LT-NO	0.5	2006:08:25:24:14:00.00	256.3	g	38.9	1.387e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns013a	ns013	ns013a2	ns013a2:LT-NO	LT-NO	0.6	2006:08:25:24:15:00.00	258.2	g	37.4	3.194e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns013b	ns013	ns013b1	ns013b1:LT-NO	LT-NO	0.7	2006:08:25:24:17:00.00	353.9	g	-71.5	3.071e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns013b	ns013	ns013b2	ns013b2:LT-NO	LT-NO	0.3	2006:08:25:24:18:00.00	354	g	-71	4.467e-06	1	4	u	273	SAN	0	0	0	0	273
