tab 	pmag_sites
er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
This study	North Shore Volcanics	ns053	ns053b1 : ns053c1 : ns053e2 : ns053f2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	3.3	MAG	295.1	Magnetite remanence.	43	768.3	4	4	0	n	3.9961	100
This study	North Shore Volcanics	ns054	ns054b1 : ns054c1 : ns054d1 : ns054f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	7.5	MAG	290.2	Magnetite remanence.	40	150.5	4	4	0	n	3.9801	0
This study	North Shore Volcanics	ns054	ns054b1 : ns054c1 : ns054d1 : ns054f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	7.5	MAG	289.5	Magnetite remanence.	56	151.1	4	4	0	n	3.9801	100
This study	North Shore Volcanics	ns056	ns056b1 : ns056c1 : ns056d1 : ns056e2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	2.5	MAG	297	Magnetite remanence.	23.4	1302.5	4	4	0	n	3.9977	0
This study	North Shore Volcanics	ns056	ns056b1 : ns056c1 : ns056d1 : ns056e2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	2.6	MAG	298.4	Magnetite remanence.	41.3	1271.2	4	4	0	n	3.9976	100
This study	North Shore Volcanics	ns057	ns057c1 : ns057d1 : ns057e2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	2.9	MAG	287.4	Magnetite remanence.	10.5	1806.6	3	3	0	n	2.9989	0
This study	North Shore Volcanics	ns057	ns057c1 : ns057d1 : ns057e2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	3	MAG	287.3	Magnetite remanence.	29.5	1734.9	3	3	0	n	2.9988	100
This study	North Shore Volcanics	ns058	ns058a1 : ns058b1 : ns058d2 : ns058e2	DE-FM-LP : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	7.8	MAG	302.2	Magnetite remanence.	34.9	158.3	4	3	1	n	3.9842	0
This study	North Shore Volcanics	ns058	ns058a1 : ns058b1 : ns058d2 : ns058e2	DE-FM-LP : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	7.8	MAG	306.1	Magnetite remanence.	52.5	158.6	4	3	1	n	3.9842	100
This study	North Shore Volcanics	ns059	ns059a1 : ns059c2 : ns059f1 : ns059g2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	9.8	MAG	290.4	Magnetite remanence.	26.3	89.4	4	4	0	n	3.9664	0
This study	North Shore Volcanics	ns059	ns059a1 : ns059c2 : ns059f1 : ns059g2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	9.8	MAG	290.2	Magnetite remanence.	44.3	88.9	4	4	0	n	3.9663	100
This study	North Shore Volcanics	ns061	ns061a1 : ns061b1 : ns061e2 : ns061f2 : ns061g3	DE-FM-LP : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	5.1	MAG	300.4	Magnetite remanence.	31.4	237.9	5	4	1	n	4.9853	0
This study	North Shore Volcanics	ns061	ns061a1 : ns061b1 : ns061e2 : ns061f2 : ns061g3	DE-FM-LP : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	5.1	MAG	304.5	Magnetite remanence.	49.8	241.1	5	4	1	n	4.9855	100
This study	North Shore Volcanics	ns062	ns062b1 : ns062c1 : ns062e2 : ns062f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	5.2	MAG	292.6	Magnetite remanence.	33.6	314.8	4	4	0	n	3.9905	0
This study	North Shore Volcanics	ns062	ns062b1 : ns062c1 : ns062e2 : ns062f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	5.2	MAG	294.3	Magnetite remanence.	52.6	316	4	4	0	n	3.9905	100
This study	North Shore Volcanics	ns063	ns063a1 : ns063e1 : ns063f1	DE-FM-LP : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	4.5	MAG	297.5	Magnetite remanence.	12.1	1028	3	2	1	n	2.9985	0
This study	North Shore Volcanics	ns063	ns063a1 : ns063e1 : ns063f1	DE-FM-LP : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	4.5	MAG	298.8	Magnetite remanence.	30.8	1019.9	3	2	1	n	2.9985	100
This study	North Shore Volcanics	ns064	ns064b1 : ns064c2 : ns064e1 : ns064f2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	5.8	MAG	296.4	Magnetite remanence.	29.4	253.6	4	4	0	n	3.9882	0
This study	North Shore Volcanics	ns064	ns064b1 : ns064c2 : ns064e1 : ns064f2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	5.7	MAG	298.9	Magnetite remanence.	48.1	257.8	4	4	0	n	3.9884	100
This study	North Shore Volcanics	ns065	ns065b1 : ns065d1 : ns065e1 : ns065f2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	9.5	MAG	290.8	Magnetite remanence.	28.9	95.5	4	4	0	n	3.9686	0
This study	North Shore Volcanics	ns065	ns065b1 : ns065d1 : ns065e1 : ns065f2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	9.4	MAG	291.6	Magnetite remanence.	47.9	95.9	4	4	0	n	3.9687	100
This study	North Shore Volcanics	ns068	ns068a1 : ns068b1 : ns068d1 : ns068f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	8.2	MAG	310.8	Magnetite remanence.	16.1	127	4	4	0	n	3.9764	0
This study	North Shore Volcanics	ns068	ns068a1 : ns068b1 : ns068d1 : ns068f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	8.1	MAG	314.5	Magnetite remanence.	33.4	128.1	4	4	0	n	3.9766	100
This study	North Shore Volcanics	ns071	ns071b1 : ns071c1 : ns071d2 : ns071e1 : ns071f2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	7.3	MAG	305.6	Magnetite remanence.	27.6	111.6	5	5	0	n	4.9642	0
This study	North Shore Volcanics	ns071	ns071b1 : ns071c1 : ns071d2 : ns071e1 : ns071f2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	7.3	MAG	310.5	Magnetite remanence.	45.5	111.5	5	5	0	n	4.9641	100
This study	North Shore Volcanics	ns072	ns072a1 : ns072b1 : ns072d1	DE-FM-LP : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	9.8	MAG	289.5	Magnetite remanence.	35.3	219.8	3	2	1	n	2.9932	0
This study	North Shore Volcanics	ns072	ns072a1 : ns072b1 : ns072d1	DE-FM-LP : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	9.8	MAG	290.1	Magnetite remanence.	54.3	218.7	3	2	1	n	2.9931	100
This study	North Shore Volcanics	ns073	ns073b1 : ns073c1 : ns073d2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	13	MAG	303.4	Magnetite remanence.	18.6	90.6	3	3	0	n	2.9779	0
This study	North Shore Volcanics	ns073	ns073b1 : ns073c1 : ns073d2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	13	MAG	306.3	Magnetite remanence.	36.8	91.5	3	3	0	n	2.9781	100
This study	North Shore Volcanics	ns074	ns074b1 : ns074c2 : ns074d1 : ns074e2	DE-FM-LP : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	17.9	MAG	290.8	Magnetite remanence.	42.4	49.8	4	1	3	n	3.9699	0
This study	North Shore Volcanics	ns074	ns074b1 : ns074c2 : ns074d1 : ns074e2	DE-FM-LP : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	17.9	MAG	292.3	Magnetite remanence.	61.4	49.6	4	1	3	n	3.9698	100
This study	North Shore Volcanics	ns075	ns075a1 : ns075b1 : ns075c2 : ns075d2 : ns075f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	5.8	MAG	302.4	Magnetite remanence.	33.1	175.8	5	5	0	n	4.9773	0
This study	North Shore Volcanics	ns075	ns075a1 : ns075b1 : ns075c2 : ns075d2 : ns075f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	5.8	MAG	307.6	Magnetite remanence.	51.3	175.6	5	5	0	n	4.9772	100
This study	North Shore Volcanics	ns076	ns076a1 : ns076b1 : ns076d1 : ns076e1 : ns076f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	54.2	MAG	334.4	Magnetite remanence.	70.6	2.9	5	5	0	n	3.6425	0
This study	North Shore Volcanics	ns076	ns076a1 : ns076b1 : ns076d1 : ns076e1 : ns076f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	54.2	MAG	38.6	Magnetite remanence.	75.1	2.9	5	5	0	n	3.6438	100
This study	North Shore Volcanics	ns077	ns077b1 : ns077c1 : ns077f1 : ns077g1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	6.5	MAG	305.5	Magnetite remanence.	16.5	200.6	4	4	0	n	3.985	0
This study	North Shore Volcanics	ns077	ns077b1 : ns077c1 : ns077f1 : ns077g1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	6.5	MAG	308.4	Magnetite remanence.	34.5	201.4	4	4	0	n	3.9851	100
This study	North Shore Volcanics	ns002	ns002b1 : ns002c1 : ns002d1 : ns002f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	6.7	HEM	291	Hematite remanence.	32.6	191.1	4	4	0	n	3.9843	0
