tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_moment	meas_pos_z	method_codes	number	quality	specimen	standard	timestamp	treat_ac_field	treat_temp
This study	355.302340478	-37.23581429	SI1-14.9-D:NRM_demag(T,Hac)0	9.93E-06	1.267	LP-DIR-AF:LT-AF-Z	756583	g	SI1-14.9-D	u	2011-08-06T18:36:32Z	0.03	300
This study	351.817598812	-37.09298685	SI1-12.5-D:NRM_demag(T,Hac)0	1.08E-06	0.067	LP-DIR-AF:LT-AF-Z	756584	g	SI1-12.5-D	u	2011-08-06T18:40:48Z	0.035	300
This study	343.48757735	-30.97335957	SI1-12.55-D:NRM_demag(T,Hac)0	4.92E-06	0.267	LP-DIR-AF:LT-AF-Z	756585	g	SI1-12.55-D	u	2011-08-06T18:41:03Z	0.035	300
This study	17.78324194	-73.30874673	SI1-13.0-D:NRM_demag(T,Hac)0	8.20E-07	0.467	LP-DIR-AF:LT-AF-Z	756586	g	SI1-13.0-D	u	2011-08-06T18:41:18Z	0.035	300
This study	337.61223734	-42.14585644	SI1-13.4-D:NRM_demag(T,Hac)0	1.45E-06	0.667	LP-DIR-AF:LT-AF-Z	756587	g	SI1-13.4-D	u	2011-08-06T18:41:33Z	0.035	300
This study	358.59077764	-74.070337	SI1-14.2-D:NRM_demag(T,Hac)0	9.21E-07	0.867	LP-DIR-AF:LT-AF-Z	756588	g	SI1-14.2-D	u	2011-08-06T18:41:48Z	0.035	300
This study	354.632379577	-65.6340919	SI1-14.4-D:NRM_demag(T,Hac)0	8.24E-06	1.067	LP-DIR-AF:LT-AF-Z	756589	g	SI1-14.4-D	u	2011-08-06T18:42:03Z	0.035	300
This study	355.429430533	-37.06107806	SI1-14.9-D:NRM_demag(T,Hac)0	8.34E-06	1.267	LP-DIR-AF:LT-AF-Z	756590	g	SI1-14.9-D	u	2011-08-06T18:42:18Z	0.035	300
This study	353.976690988	-37.79207164	SI1-12.5-D:NRM_demag(T,Hac)0	8.91E-07	0.067	LP-DIR-AF:LT-AF-Z	756591	g	SI1-12.5-D	u	2011-08-06T18:46:37Z	0.04	300
This study	344.81457545	-30.90469978	SI1-12.55-D:NRM_demag(T,Hac)0	4.13E-06	0.267	LP-DIR-AF:LT-AF-Z	756592	g	SI1-12.55-D	u	2011-08-06T18:46:52Z	0.04	300
