tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_class	sample_description	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	Simpson Island	SI2b-2.42	SI2b(2.2 to 2.6)	FS-FD:SO-POM:SO-CMD-NORTH	190	Igneous : Extrusive	oriented core	-60	48.7921	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-2.46	SI2b(2.2 to 2.6)	FS-FD:SO-POM:SO-CMD-NORTH	221	Igneous : Extrusive	oriented core	-69	48.7921	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-2.5	SI2b(2.2 to 2.6)	FS-FD:SO-POM:SO-CMD-NORTH	186	Igneous : Extrusive	oriented core	-75	48.7921	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-2.53	SI2b(2.2 to 2.6)	FS-FD:SO-POM:SO-CMD-NORTH	186	Igneous : Extrusive	oriented core	-76	48.7921	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-2.57	SI2b(2.2 to 2.6)	FS-FD:SO-POM:SO-CMD-NORTH	182	Igneous : Extrusive	oriented core	-76	48.7921	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-2.6	SI2b(2.2 to 2.6)	FS-FD:SO-POM:SO-CMD-NORTH	193	Igneous : Extrusive	oriented core	-77	48.7921	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2b-2.61	SI2b(2.2 to 2.6)	FS-FD:SO-POM:SO-CMD-NORTH	178	Igneous : Extrusive	oriented core	-79	48.7921	Basalt	-87.6546	Lava Flow
This study	Simpson Island	SI2c-0.15	SI2c(0.0 to 2.1)	FS-FD:SO-POM:SO-CMD-NORTH	300	Igneous : Extrusive	oriented core	-44	48.7903	Basalt	-87.6545	Lava Flow
This study	Simpson Island	SI2c-0.35	SI2c(0.0 to 2.1)	FS-FD:SO-POM:SO-CMD-NORTH	253	Igneous : Extrusive	oriented core	-20	48.7903	Basalt	-87.6545	Lava Flow
This study	Simpson Island	SI2c-0.45	SI2c(0.0 to 2.1)	FS-FD:SO-POM:SO-CMD-NORTH	183	Igneous : Extrusive	oriented core	-42	48.7903	Basalt	-87.6545	Lava Flow
This study	Simpson Island	SI2c-0.5	SI2c(0.0 to 2.1)	FS-FD:SO-POM:SO-CMD-NORTH	179	Igneous : Extrusive	oriented core	-41	48.7903	Basalt	-87.6545	Lava Flow
This study	Simpson Island	SI2c-0.55	SI2c(0.0 to 2.1)	FS-FD:SO-POM:SO-CMD-NORTH	187	Igneous : Extrusive	oriented core	-37	48.7903	Basalt	-87.6545	Lava Flow
This study	Simpson Island	SI2c-1.0	SI2c(0.0 to 2.1)	FS-FD:SO-POM:SO-CMD-NORTH	131	Igneous : Extrusive	oriented core	-16	48.7903	Basalt	-87.6545	Lava Flow
This study	Simpson Island	SI2c-3.0	SI2c(2.1 to 18.6)	FS-FD:SO-POM:SO-CMD-NORTH	197	Igneous : Extrusive	oriented core	-48	48.7902	Basalt	-87.6545	Lava Flow
This study	Simpson Island	SI2c-3.05	SI2c(2.1 to 18.6)	FS-FD:SO-POM:SO-CMD-NORTH	195	Igneous : Extrusive	oriented core	-51	48.7902	Basalt	-87.6545	Lava Flow
This study	Simpson Island	SI2c-3.15	SI2c(2.1 to 18.6)	FS-FD:SO-POM:SO-CMD-NORTH	196	Igneous : Extrusive	oriented core	-44	48.7902	Basalt	-87.6545	Lava Flow
This study	Simpson Island	SI2c-4.7	SI2c(2.1 to 18.6)	FS-FD:SO-POM:SO-CMD-NORTH	232	Igneous : Extrusive	oriented core	-31	48.7902	Basalt	-87.6545	Lava Flow
This study	Simpson Island	SI2c-4.8	SI2c(2.1 to 18.6)	FS-FD:SO-POM:SO-CMD-NORTH	229	Igneous : Extrusive	oriented core	-16	48.7902	Basalt	-87.6545	Lava Flow
This study	Simpson Island	SI2c-6.3	SI2c(2.1 to 18.6)	FS-FD:SO-POM:SO-CMD-NORTH	193	Igneous : Extrusive	oriented core	-37	48.7902	Basalt	-87.6545	Lava Flow
This study	Simpson Island	SI3-103.4	SI3(103.3 to 110.3)	FS-FD:SO-POM:SO-CMD-NORTH	201	Igneous : Extrusive	oriented core	-66	48.7799	Basalt	-87.6295	Lava Flow
This study	Simpson Island	SI3-103.5	SI3(103.3 to 110.3)	FS-FD:SO-POM:SO-CMD-NORTH	217	Igneous : Extrusive	oriented core	-67	48.7799	Basalt	-87.6295	Lava Flow
This study	Simpson Island	SI3-103.9	SI3(103.3 to 110.3)	FS-FD:SO-POM:SO-CMD-NORTH	259	Igneous : Extrusive	oriented core	-72	48.7799	Basalt	-87.6295	Lava Flow
This study	Simpson Island	SI3-103.95	SI3(103.3 to 110.3)	FS-FD:SO-POM:SO-CMD-NORTH	265	Igneous : Extrusive	oriented core	-73	48.7799	Basalt	-87.6295	Lava Flow
This study	Simpson Island	SI3-104.3	SI3(103.3 to 110.3)	FS-FD:SO-POM:SO-CMD-NORTH	187	Igneous : Extrusive	oriented core	-70	48.7799	Basalt	-87.6295	Lava Flow
This study	Simpson Island	SI3-104.4	SI3(103.3 to 110.3)	FS-FD:SO-POM:SO-CMD-NORTH	188	Igneous : Extrusive	oriented core	-75	48.7799	Basalt	-87.6295	Lava Flow
This study	Simpson Island	SI3-12.95	SI3(12.5 to 20.1)	FS-FD:SO-POM:SO-CMD-NORTH	178	Igneous : Extrusive	oriented core	-38	48.7823	Basalt	-87.6318	Lava Flow
This study	Simpson Island	SI3-126.9	SI3(124.8 to 130.4)	FS-FD:SO-POM:SO-CMD-NORTH	269	Igneous : Extrusive	oriented core	-14	48.7791	Basalt	-87.6292	Lava Flow
This study	Simpson Island	SI3-127.1	SI3(124.8 to 130.4)	FS-FD:SO-POM:SO-CMD-NORTH	288	Igneous : Extrusive	oriented core	-23	48.7791	Basalt	-87.6292	Lava Flow
This study	Simpson Island	SI3-127.3	SI3(124.8 to 130.4)	FS-FD:SO-POM:SO-CMD-NORTH	289	Igneous : Extrusive	oriented core	-20	48.7791	Basalt	-87.6292	Lava Flow
This study	Simpson Island	SI3-129.3	SI3(124.8 to 130.4)	FS-FD:SO-POM:SO-CMD-NORTH	210	Igneous : Extrusive	oriented core	-58	48.7791	Basalt	-87.6292	Lava Flow
This study	Simpson Island	SI3-129.45	SI3(124.8 to 130.4)	FS-FD:SO-POM:SO-CMD-NORTH	319	Igneous : Extrusive	oriented core	-34	48.7791	Basalt	-87.6292	Lava Flow
This study	Simpson Island	SI3-13.05	SI3(12.5 to 20.1)	FS-FD:SO-POM:SO-CMD-NORTH	158	Igneous : Extrusive	oriented core	-29	48.7823	Basalt	-87.6318	Lava Flow
This study	Simpson Island	SI3-13.2	SI3(12.5 to 20.1)	FS-FD:SO-POM:SO-CMD-NORTH	192	Igneous : Extrusive	oriented core	-55	48.7823	Basalt	-87.6318	Lava Flow
This study	Simpson Island	SI3-16.3	SI3(12.5 to 20.1)	FS-FD:SO-POM:SO-CMD-NORTH	125	Igneous : Extrusive	oriented core	-69	48.7823	Basalt	-87.6318	Lava Flow
This study	Simpson Island	SI3-16.4	SI3(12.5 to 20.1)	FS-FD:SO-POM:SO-CMD-NORTH	177	Igneous : Extrusive	oriented core	-49	48.7823	Basalt	-87.6318	Lava Flow
This study	Simpson Island	SI3-18.75	SI3(12.5 to 20.1)	FS-FD:SO-POM:SO-CMD-NORTH	304	Igneous : Extrusive	oriented core	-24	48.7823	Basalt	-87.6318	Lava Flow
This study	Simpson Island	SI3-18.8	SI3(12.5 to 20.1)	FS-FD:SO-POM:SO-CMD-NORTH	335	Igneous : Extrusive	oriented core	-31	48.7823	Basalt	-87.6318	Lava Flow
This study	Simpson Island	SI3-19.9	SI3(12.5 to 20.1)	FS-FD:SO-POM:SO-CMD-NORTH	226	Igneous : Extrusive	oriented core	-43	48.7823	Basalt	-87.6318	Lava Flow
This study	Simpson Island	SI3-20.4	SI3(20.1 to 28.9)	FS-FD:SO-POM:SO-CMD-NORTH	189	Igneous : Extrusive	oriented core	-63	48.7822	Basalt	-87.6316	Lava Flow
This study	Simpson Island	SI3-20.45	SI3(20.1 to 28.9)	FS-FD:SO-POM:SO-CMD-NORTH	192	Igneous : Extrusive	oriented core	-65	48.7822	Basalt	-87.6316	Lava Flow
This study	Simpson Island	SI3-21.3	SI3(20.1 to 28.9)	FS-FD:SO-POM:SO-CMD-NORTH	195	Igneous : Extrusive	oriented core	-90	48.7822	Basalt	-87.6316	Lava Flow
This study	Simpson Island	SI3-21.35	SI3(20.1 to 28.9)	FS-FD:SO-POM:SO-CMD-NORTH	192	Igneous : Extrusive	oriented core	-89	48.7822	Basalt	-87.6316	Lava Flow
This study	Simpson Island	SI3-22.3	SI3(20.1 to 28.9)	FS-FD:SO-POM:SO-CMD-NORTH	176	Igneous : Extrusive	oriented core	-50	48.7822	Basalt	-87.6316	Lava Flow
This study	Simpson Island	SI3-22.35	SI3(20.1 to 28.9)	FS-FD:SO-POM:SO-CMD-NORTH	218	Igneous : Extrusive	oriented core	-33	48.7822	Basalt	-87.6316	Lava Flow
This study	Simpson Island	SI3-22.6	SI3(20.1 to 28.9)	FS-FD:SO-POM:SO-CMD-NORTH	44	Igneous : Extrusive	oriented core	-30	48.7822	Basalt	-87.6316	Lava Flow
This study	Simpson Island	SI3-22.65	SI3(20.1 to 28.9)	FS-FD:SO-POM:SO-CMD-NORTH	26	Igneous : Extrusive	oriented core	-32	48.7822	Basalt	-87.6316	Lava Flow
This study	Simpson Island	SI3-27.9	SI3(20.1 to 28.9)	FS-FD:SO-POM:SO-CMD-NORTH	330	Igneous : Extrusive	oriented core	-57	48.7822	Basalt	-87.6316	Lava Flow
This study	Simpson Island	SI3-3.6	SI3(2.3 to 5.5)	FS-FD:SO-POM:SO-CMD-NORTH	207	Igneous : Extrusive	oriented core	-53	48.7827	Basalt	-87.6326	Lava Flow
This study	Simpson Island	SI3-3.7	SI3(2.3 to 5.5)	FS-FD:SO-POM:SO-CMD-NORTH	221	Igneous : Extrusive	oriented core	-62	48.7827	Basalt	-87.6326	Lava Flow
This study	Simpson Island	SI3-37.8	SI3(36.9 to 48.4)	FS-FD:SO-POM:SO-CMD-NORTH	164	Igneous : Extrusive	oriented core	-26	48.7817	Basalt	-87.631	Lava Flow
This study	Simpson Island	SI3-37.85	SI3(36.9 to 48.4)	FS-FD:SO-POM:SO-CMD-NORTH	173	Igneous : Extrusive	oriented core	-19	48.7817	Basalt	-87.631	Lava Flow
This study	Simpson Island	SI3-38.7	SI3(36.9 to 48.4)	FS-FD:SO-POM:SO-CMD-NORTH	190	Igneous : Extrusive	oriented core	-85	48.7817	Basalt	-87.631	Lava Flow
This study	Simpson Island	SI3-38.8	SI3(36.9 to 48.4)	FS-FD:SO-POM:SO-CMD-NORTH	184	Igneous : Extrusive	oriented core	-62	48.7817	Basalt	-87.631	Lava Flow
This study	Simpson Island	SI3-39.8	SI3(36.9 to 48.4)	FS-FD:SO-POM:SO-CMD-NORTH	60	Igneous : Extrusive	oriented core	-14	48.7817	Basalt	-87.631	Lava Flow
This study	Simpson Island	SI3-39.82	SI3(36.9 to 48.4)	FS-FD:SO-POM:SO-CMD-NORTH	70	Igneous : Extrusive	oriented core	-15	48.7817	Basalt	-87.631	Lava Flow
This study	Simpson Island	SI3-4.1	SI3(2.3 to 5.5)	FS-FD:SO-POM:SO-CMD-NORTH	174	Igneous : Extrusive	oriented core	-76	48.7827	Basalt	-87.6326	Lava Flow
This study	Simpson Island	SI3-4.2	SI3(2.3 to 5.5)	FS-FD:SO-POM:SO-CMD-NORTH	196	Igneous : Extrusive	oriented core	-60	48.7827	Basalt	-87.6326	Lava Flow
This study	Simpson Island	SI3-4.6	SI3(2.3 to 5.5)	FS-FD:SO-POM:SO-CMD-NORTH	276	Igneous : Extrusive	oriented core	-83	48.7827	Basalt	-87.6326	Lava Flow
This study	Simpson Island	SI3-4.7	SI3(2.3 to 5.5)	FS-FD:SO-POM:SO-CMD-NORTH	274	Igneous : Extrusive	oriented core	-84	48.7827	Basalt	-87.6326	Lava Flow
This study	Simpson Island	SI3-5.6	SI3(5.5 to 12.5)	FS-FD:SO-POM:SO-CMD-NORTH	294	Igneous : Extrusive	oriented core	-74	48.7826	Basalt	-87.6324	Lava Flow
This study	Simpson Island	SI3-58.0	SI3(55.8 to 60.9)	FS-FD:SO-POM:SO-CMD-NORTH	122	Igneous : Extrusive	oriented core	-12	48.7812	Basalt	-87.6304	Lava Flow
This study	Simpson Island	SI3-58.02	SI3(55.8 to 60.9)	FS-FD:SO-POM:SO-CMD-NORTH	49	Igneous : Extrusive	oriented core	-6	48.7812	Basalt	-87.6304	Lava Flow
This study	Simpson Island	SI3-58.04	SI3(55.8 to 60.9)	FS-FD:SO-POM:SO-CMD-NORTH	131	Igneous : Extrusive	oriented core	-12	48.7812	Basalt	-87.6304	Lava Flow
This study	Simpson Island	SI3-59.7	SI3(55.8 to 60.9)	FS-FD:SO-POM:SO-CMD-NORTH	80	Igneous : Extrusive	oriented core	-14	48.7812	Basalt	-87.6304	Lava Flow
This study	Simpson Island	SI3-59.8	SI3(55.8 to 60.9)	FS-FD:SO-POM:SO-CMD-NORTH	309	Igneous : Extrusive	oriented core	-67	48.7812	Basalt	-87.6304	Lava Flow
This study	Simpson Island	SI3-59.9	SI3(55.8 to 60.9)	FS-FD:SO-POM:SO-CMD-NORTH	90	Igneous : Extrusive	oriented core	-20	48.7812	Basalt	-87.6304	Lava Flow
This study	Simpson Island	SI3-6.4	SI3(5.5 to 12.5)	FS-FD:SO-POM:SO-CMD-NORTH	182	Igneous : Extrusive	oriented core	-77	48.7826	Basalt	-87.6324	Lava Flow
This study	Simpson Island	SI3-7.05	SI3(5.5 to 12.5)	FS-FD:SO-POM:SO-CMD-NORTH	222	Igneous : Extrusive	oriented core	-80	48.7826	Basalt	-87.6324	Lava Flow
This study	Simpson Island	SI3-7.2	SI3(5.5 to 12.5)	FS-FD:SO-POM:SO-CMD-NORTH	61	Igneous : Extrusive	oriented core	-54	48.7826	Basalt	-87.6324	Lava Flow
This study	Simpson Island	SI3-7.25	SI3(5.5 to 12.5)	FS-FD:SO-POM:SO-CMD-NORTH	52	Igneous : Extrusive	oriented core	-41	48.7826	Basalt	-87.6324	Lava Flow
This study	Simpson Island	SI3-7.3	SI3(5.5 to 12.5)	FS-FD:SO-POM:SO-CMD-NORTH	268	Igneous : Extrusive	oriented core	-21	48.7826	Basalt	-87.6324	Lava Flow
This study	Simpson Island	SI3-8.3	SI3(5.5 to 12.5)	FS-FD:SO-POM:SO-CMD-NORTH	176	Igneous : Extrusive	oriented core	-27	48.7826	Basalt	-87.6324	Lava Flow
This study	Simpson Island	SI3-8.8	SI3(5.5 to 12.5)	FS-FD:SO-POM:SO-CMD-NORTH	171	Igneous : Extrusive	oriented core	-50	48.7826	Basalt	-87.6324	Lava Flow
This study	Simpson Island	SI3-9.6	SI3(5.5 to 12.5)	FS-FD:SO-POM:SO-CMD-NORTH	181	Igneous : Extrusive	oriented core	-70	48.7826	Basalt	-87.6324	Lava Flow
This study	Simpson Island	SI3-9.63	SI3(5.5 to 12.5)	FS-FD:SO-POM:SO-CMD-NORTH	175	Igneous : Extrusive	oriented core	-74	48.7826	Basalt	-87.6324	Lava Flow
This study	Simpson Island	SI3-D1	SI3(D1 to D10)	FS-FD:SO-POM:SO-CMD-NORTH	176	Intrusive : Igneous	oriented core	-56	48.7805	Diabase	-87.6301	Dike
This study	Simpson Island	SI3-D10	SI3(D1 to D10)	FS-FD:SO-POM:SO-CMD-NORTH	185	Intrusive : Igneous	oriented core	-80	48.7805	Diabase	-87.6301	Dike
This study	Simpson Island	SI3-D2	SI3(D1 to D10)	FS-FD:SO-POM:SO-CMD-NORTH	178	Intrusive : Igneous	oriented core	-57	48.7805	Diabase	-87.6301	Dike
This study	Simpson Island	SI3-D3	SI3(D1 to D10)	FS-FD:SO-POM:SO-CMD-NORTH	160	Intrusive : Igneous	oriented core	-59	48.7805	Diabase	-87.6301	Dike
This study	Simpson Island	SI3-D4	SI3(D1 to D10)	FS-FD:SO-POM:SO-CMD-NORTH	167	Intrusive : Igneous	oriented core	-57	48.7805	Diabase	-87.6301	Dike
This study	Simpson Island	SI3-D5	SI3(D1 to D10)	FS-FD:SO-POM:SO-CMD-NORTH	173	Intrusive : Igneous	oriented core	-52	48.7805	Diabase	-87.6301	Dike
This study	Simpson Island	SI3-D6	SI3(D1 to D10)	FS-FD:SO-POM:SO-CMD-NORTH	150	Intrusive : Igneous	oriented core	-42	48.7805	Diabase	-87.6301	Dike
This study	Simpson Island	SI3-D7	SI3(D1 to D10)	FS-FD:SO-POM:SO-CMD-NORTH	171	Intrusive : Igneous	oriented core	-31	48.7805	Diabase	-87.6301	Dike
This study	Simpson Island	SI3-D8	SI3(D1 to D10)	FS-FD:SO-POM:SO-CMD-NORTH	184	Intrusive : Igneous	oriented core	-37	48.7805	Diabase	-87.6301	Dike
This study	Simpson Island	SI3-D9	SI3(D1 to D10)	FS-FD:SO-POM:SO-CMD-NORTH	189	Intrusive : Igneous	oriented core	-51	48.7805	Diabase	-87.6301	Dike
This study	Simpson Island	SI4-1.9	SI4(0.0 to 13.8)	FS-FD:SO-POM:SO-CMD-NORTH	12	Igneous : Extrusive	oriented core	-23	48.7525	Basalt	-87.5971	Lava Flow
This study	Simpson Island	SI4-2.5	SI4(0.0 to 13.8)	FS-FD:SO-POM:SO-CMD-NORTH	307	Igneous : Extrusive	oriented core	-60	48.7525	Basalt	-87.5971	Lava Flow
This study	Simpson Island	SI4-3.2	SI4(0.0 to 13.8)	FS-FD:SO-POM:SO-CMD-NORTH	317	Igneous : Extrusive	oriented core	-22	48.7525	Basalt	-87.5971	Lava Flow
This study	Simpson Island	SI4-4.5	SI4(0.0 to 13.8)	FS-FD:SO-POM:SO-CMD-NORTH	320	Igneous : Extrusive	oriented core	-89	48.7525	Basalt	-87.5971	Lava Flow
This study	Simpson Island	SI4-4.6	SI4(0.0 to 13.8)	FS-FD:SO-POM:SO-CMD-NORTH	316	Igneous : Extrusive	oriented core	-94	48.7525	Basalt	-87.5971	Lava Flow
This study	Simpson Island	SI4-6.4	SI4(0.0 to 13.8)	FS-FD:SO-POM:SO-CMD-NORTH	107	Igneous : Extrusive	oriented core	-34	48.7525	Basalt	-87.5971	Lava Flow
This study	Simpson Island	SI4-108.00	SI4(106.0 to 121.4)	FS-FD:SO-POM:SO-CMD-NORTH	345	Igneous : Extrusive	oriented core	-25	48.7499	Basalt	-87.5953	Lava Flow
This study	Simpson Island	SI4-109.20	SI4(106.0 to 121.4)	FS-FD:SO-POM:SO-CMD-NORTH	15	Igneous : Extrusive	oriented core	-26	48.7499	Basalt	-87.5953	Lava Flow
This study	Simpson Island	SI4-109.21	SI4(106.0 to 121.4)	FS-FD:SO-POM:SO-CMD-NORTH	314	Igneous : Extrusive	oriented core	-30	48.7499	Basalt	-87.5953	Lava Flow
This study	Simpson Island	SI4-109.40	SI4(106.0 to 121.4)	FS-FD:SO-POM:SO-CMD-NORTH	324	Igneous : Extrusive	oriented core	-32	48.7499	Basalt	-87.5953	Lava Flow
This study	Simpson Island	SI4-111.40	SI4(106.0 to 121.4)	FS-FD:SO-POM:SO-CMD-NORTH	336	Igneous : Extrusive	oriented core	-28	48.7499	Basalt	-87.5953	Lava Flow
This study	Simpson Island	SI4-111.60	SI4(106.0 to 121.4)	FS-FD:SO-POM:SO-CMD-NORTH	231	Igneous : Extrusive	oriented core	-60	48.7499	Basalt	-87.5953	Lava Flow
This study	Simpson Island	SI4-113.40	SI4(106.0 to 121.4)	FS-FD:SO-POM:SO-CMD-NORTH	190	Igneous : Extrusive	oriented core	-77	48.7499	Basalt	-87.5953	Lava Flow
This study	Simpson Island	SI4-113.50	SI4(106.0 to 121.4)	FS-FD:SO-POM:SO-CMD-NORTH	184	Igneous : Extrusive	oriented core	-74	48.7499	Basalt	-87.5953	Lava Flow
This study	Simpson Island	SI4-113.60	SI4(106.0 to 121.4)	FS-FD:SO-POM:SO-CMD-NORTH	185	Igneous : Extrusive	oriented core	-78	48.7499	Basalt	-87.5953	Lava Flow
This study	Simpson Island	SI4-122.80	SI4(121.4 to 127.3)	FS-FD:SO-POM:SO-CMD-NORTH	322	Igneous : Extrusive	oriented core	-55	48.7494	Basalt	-87.5954	Lava Flow
This study	Simpson Island	SI4-123.10	SI4(121.4 to 127.3)	FS-FD:SO-POM:SO-CMD-NORTH	274	Igneous : Extrusive	oriented core	-79	48.7494	Basalt	-87.5954	Lava Flow
This study	Simpson Island	SI4-123.65	SI4(121.4 to 127.3)	FS-FD:SO-POM:SO-CMD-NORTH	256	Igneous : Extrusive	oriented core	-74	48.7494	Basalt	-87.5954	Lava Flow
This study	Simpson Island	SI4-123.70	SI4(121.4 to 127.3)	FS-FD:SO-POM:SO-CMD-NORTH	262	Igneous : Extrusive	oriented core	-69	48.7494	Basalt	-87.5954	Lava Flow
This study	Simpson Island	SI4-123.80	SI4(121.4 to 127.3)	FS-FD:SO-POM:SO-CMD-NORTH	226	Igneous : Extrusive	oriented core	-52	48.7494	Basalt	-87.5954	Lava Flow
This study	Simpson Island	SI4-123.81	SI4(121.4 to 127.3)	FS-FD:SO-POM:SO-CMD-NORTH	283	Igneous : Extrusive	oriented core	-112	48.7494	Basalt	-87.5954	Lava Flow
This study	Simpson Island	SI4-124.05	SI4(121.4 to 127.3)	FS-FD:SO-POM:SO-CMD-NORTH	220	Igneous : Extrusive	oriented core	-60	48.7494	Basalt	-87.5954	Lava Flow
This study	Simpson Island	SI4-124.10	SI4(121.4 to 127.3)	FS-FD:SO-POM:SO-CMD-NORTH	268	Igneous : Extrusive	oriented core	-75	48.7494	Basalt	-87.5954	Lava Flow
This study	Simpson Island	SI4-14.0	SI4(13.8 to 20.2)	FS-FD:SO-POM:SO-CMD-NORTH	185	Igneous : Extrusive	oriented core	-67	48.7524	Basalt	-87.5973	Lava Flow
This study	Simpson Island	SI4-15.1	SI4(13.8 to 20.2)	FS-FD:SO-POM:SO-CMD-NORTH	164	Igneous : Extrusive	oriented core	-64	48.7524	Basalt	-87.5973	Lava Flow
This study	Simpson Island	SI4-15.7	SI4(13.8 to 20.2)	FS-FD:SO-POM:SO-CMD-NORTH	178	Igneous : Extrusive	oriented core	-82	48.7524	Basalt	-87.5973	Lava Flow
This study	Simpson Island	SI4-18.5	SI4(13.8 to 20.2)	FS-FD:SO-POM:SO-CMD-NORTH	143	Igneous : Extrusive	oriented core	-67	48.7524	Basalt	-87.5973	Lava Flow
This study	Simpson Island	SI4-18.7	SI4(13.8 to 20.2)	FS-FD:SO-POM:SO-CMD-NORTH	71	Igneous : Extrusive	oriented core	-27	48.7524	Basalt	-87.5973	Lava Flow
This study	Simpson Island	SI4-18.9	SI4(13.8 to 20.2)	FS-FD:SO-POM:SO-CMD-NORTH	104	Igneous : Extrusive	oriented core	-25	48.7524	Basalt	-87.5973	Lava Flow
This study	Simpson Island	SI4-138.60	SI4(133.8 to 143.1)	FS-FD:SO-POM:SO-CMD-NORTH	326	Igneous : Extrusive	oriented core	-26	48.749	Basalt	-87.5955	Lava Flow
This study	Simpson Island	SI4-138.70	SI4(133.8 to 143.1)	FS-FD:SO-POM:SO-CMD-NORTH	159	Igneous : Extrusive	oriented core	-67	48.749	Basalt	-87.5955	Lava Flow
This study	Simpson Island	SI4-139.20	SI4(133.8 to 143.1)	FS-FD:SO-POM:SO-CMD-NORTH	227	Igneous : Extrusive	oriented core	-30	48.749	Basalt	-87.5955	Lava Flow
This study	Simpson Island	SI4-139.80	SI4(133.8 to 143.1)	FS-FD:SO-POM:SO-CMD-NORTH	78	Igneous : Extrusive	oriented core	-15	48.749	Basalt	-87.5955	Lava Flow
This study	Simpson Island	SI4-139.81	SI4(133.8 to 143.1)	FS-FD:SO-POM:SO-CMD-NORTH	68	Igneous : Extrusive	oriented core	-26	48.749	Basalt	-87.5955	Lava Flow
This study	Simpson Island	SI4-140.80	SI4(133.8 to 143.1)	FS-FD:SO-POM:SO-CMD-NORTH	144	Igneous : Extrusive	oriented core	-63	48.749	Basalt	-87.5955	Lava Flow
This study	Simpson Island	SI4-140.85	SI4(133.8 to 143.1)	FS-FD:SO-POM:SO-CMD-NORTH	143	Igneous : Extrusive	oriented core	-65	48.749	Basalt	-87.5955	Lava Flow
This study	Simpson Island	SI4-140.90	SI4(133.8 to 143.1)	FS-FD:SO-POM:SO-CMD-NORTH	142	Igneous : Extrusive	oriented core	-67	48.749	Basalt	-87.5955	Lava Flow
This study	Simpson Island	SI4-141.30	SI4(133.8 to 143.1)	FS-FD:SO-POM:SO-CMD-NORTH	63	Igneous : Extrusive	oriented core	-59	48.749	Basalt	-87.5955	Lava Flow
This study	Simpson Island	SI4-161.10	SI4(160.4 to 171.1)	FS-FD:SO-POM:SO-CMD-NORTH	242	Igneous : Extrusive	oriented core	-79	48.7485	Basalt	-87.5958	Lava Flow
This study	Simpson Island	SI4-161.21	SI4(160.4 to 171.1)	FS-FD:SO-POM:SO-CMD-NORTH	274	Igneous : Extrusive	oriented core	-11	48.7485	Basalt	-87.5958	Lava Flow
This study	Simpson Island	SI4-161.22	SI4(160.4 to 171.1)	FS-FD:SO-POM:SO-CMD-NORTH	253	Igneous : Extrusive	oriented core	-12	48.7485	Basalt	-87.5958	Lava Flow
This study	Simpson Island	SI4-161.23	SI4(160.4 to 171.1)	FS-FD:SO-POM:SO-CMD-NORTH	257	Igneous : Extrusive	oriented core	-9	48.7485	Basalt	-87.5958	Lava Flow
This study	Simpson Island	SI4-161.30	SI4(160.4 to 171.1)	FS-FD:SO-POM:SO-CMD-NORTH	169	Igneous : Extrusive	oriented core	-68	48.7485	Basalt	-87.5958	Lava Flow
This study	Simpson Island	SI4-162.00	SI4(160.4 to 171.1)	FS-FD:SO-POM:SO-CMD-NORTH	182	Igneous : Extrusive	oriented core	-92	48.7485	Basalt	-87.5958	Lava Flow
This study	Simpson Island	SI4-162.11	SI4(160.4 to 171.1)	FS-FD:SO-POM:SO-CMD-NORTH	316	Igneous : Extrusive	oriented core	-28	48.7485	Basalt	-87.5958	Lava Flow
This study	Simpson Island	SI4-162.12	SI4(160.4 to 171.1)	FS-FD:SO-POM:SO-CMD-NORTH	251	Igneous : Extrusive	oriented core	-45	48.7485	Basalt	-87.5958	Lava Flow
This study	Simpson Island	SI4-162.20	SI4(160.4 to 171.1)	FS-FD:SO-POM:SO-CMD-NORTH	182	Igneous : Extrusive	oriented core	-94	48.7485	Basalt	-87.5958	Lava Flow
This study	Simpson Island	SI4-23.0	SI4(21.4 to 30.0)	FS-FD:SO-POM:SO-CMD-NORTH	117	Igneous : Extrusive	oriented core	-57	48.752	Basalt	-87.5972	Lava Flow
This study	Simpson Island	SI4-24.1	SI4(21.4 to 30.0)	FS-FD:SO-POM:SO-CMD-NORTH	141	Igneous : Extrusive	oriented core	-57	48.752	Basalt	-87.5972	Lava Flow
This study	Simpson Island	SI4-24.7	SI4(21.4 to 30.0)	FS-FD:SO-POM:SO-CMD-NORTH	217	Igneous : Extrusive	oriented core	-52	48.752	Basalt	-87.5972	Lava Flow
This study	Simpson Island	SI4-25.2	SI4(21.4 to 30.0)	FS-FD:SO-POM:SO-CMD-NORTH	131	Igneous : Extrusive	oriented core	-57	48.752	Basalt	-87.5972	Lava Flow
This study	Simpson Island	SI4-25.6	SI4(21.4 to 30.0)	FS-FD:SO-POM:SO-CMD-NORTH	17	Igneous : Extrusive	oriented core	-25	48.752	Basalt	-87.5972	Lava Flow
This study	Simpson Island	SI4-25.8	SI4(21.4 to 30.0)	FS-FD:SO-POM:SO-CMD-NORTH	9	Igneous : Extrusive	oriented core	-71	48.752	Basalt	-87.5972	Lava Flow
