tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_instrument_codes	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_dec	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	Simpson Island	SI1-43.51	SI1(40.6 to 42.5)	SI1-43.51-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.03	T	73.8	-60.2	2	6	100
This study	Simpson Island	SI1-43.6	SI1(40.6 to 42.5)	SI1-43.6-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.03	T	108.1	-71.2	1.4	6	0
This study	Simpson Island	SI1-43.6	SI1(40.6 to 42.5)	SI1-43.6-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.03	T	81.5	-63.7	1.4	6	100
This study	Simpson Island	SI1-43.61	SI1(40.6 to 42.5)	SI1-43.61-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.03	T	90.8	-67.8	2	6	0
This study	Simpson Island	SI1-43.61	SI1(40.6 to 42.5)	SI1-43.61-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.03	T	72.8	-58.4	2	6	100
This study	Simpson Island	SI1-61.1	SI1(58.1 to 64.1)	SI1-61.1-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.145	0.035	T	101.9	-61.1	7.3	8	0
This study	Simpson Island	SI1-61.1	SI1(58.1 to 64.1)	SI1-61.1-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.145	0.035	T	85	-53.5	7.3	8	100
This study	Simpson Island	SI1-61.15	SI1(58.1 to 64.1)	SI1-61.15-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.05	0.02	T	105.3	-67	5	5	0
This study	Simpson Island	SI1-61.15	SI1(58.1 to 64.1)	SI1-61.15-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.05	0.02	T	83.6	-59.6	5	5	100
This study	Simpson Island	SI1-61.2	SI1(58.1 to 64.1)	SI1-61.2-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.03	T	100.9	-79.7	2.9	6	0
This study	Simpson Island	SI1-61.2	SI1(58.1 to 64.1)	SI1-61.2-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.03	T	66.1	-70.1	2.9	6	100
This study	Simpson Island	SI1-61.73	SI1(58.1 to 64.1)	SI1-61.73-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T	143.7	-70.8	0.2	8	0
This study	Simpson Island	SI1-61.73	SI1(58.1 to 64.1)	SI1-61.73-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T	106.4	-70	0.2	8	100
This study	Simpson Island	SI1-61.78	SI1(58.1 to 64.1)	SI1-61.78-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T	123	-71.6	0.1	8	0
This study	Simpson Island	SI1-61.78	SI1(58.1 to 64.1)	SI1-61.78-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.08	0.02	T	90.6	-66.7	0.1	8	100
This study	Simpson Island	SI1-88.25	SI1(87.6 to 88.5)	SI1-88.25-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.145	0.05	T	137.9	-76.2	1.2	6	0
This study	Simpson Island	SI1-88.25	SI1(87.6 to 88.5)	SI1-88.25-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.145	0.05	T	90.9	-72.8	1.2	6	100
This study	Simpson Island	SI1-88.35	SI1(87.6 to 88.5)	SI1-88.35-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.145	0.05	T	137.9	-77.8	1.2	6	0
This study	Simpson Island	SI1-88.35	SI1(87.6 to 88.5)	SI1-88.35-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.145	0.05	T	86.7	-73.8	1.2	6	100
This study	Simpson Island	SI1-88.37	SI1(87.6 to 88.5)	SI1-88.37-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	139.9	-72.9	0.3	7	0
This study	Simpson Island	SI1-88.37	SI1(87.6 to 88.5)	SI1-88.37-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	99.6	-70.9	0.3	7	100
This study	Simpson Island	SI1-88.4	SI1(87.6 to 88.5)	SI1-88.4-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.035	T	124.9	-75.9	0.7	7	0
This study	Simpson Island	SI1-88.4	SI1(87.6 to 88.5)	SI1-88.4-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.035	T	84.5	-70.4	0.7	7	100
This study	Simpson Island	SI1-88.43	SI1(87.6 to 88.5)	SI1-88.43-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.035	T	127.1	-75.6	0.7	7	0
This study	Simpson Island	SI1-88.43	SI1(87.6 to 88.5)	SI1-88.43-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.035	T	86.3	-70.6	0.7	7	100
This study	Simpson Island	SI1-88.9	SI1(88.5 to 89.2)	SI1-88.9-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.035	T	137.7	-76	0.2	7	0
This study	Simpson Island	SI1-88.9	SI1(88.5 to 89.2)	SI1-88.9-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.12	0.035	T	91.2	-72.7	0.2	7	100
This study	Simpson Island	SI1-88.55	SI1(88.5 to 89.2)	SI1-88.55-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	142.3	-75.2	0.2	7	0
This study	Simpson Island	SI1-88.55	SI1(88.5 to 89.2)	SI1-88.55-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	95.7	-73	0.2	7	100
This study	Simpson Island	SI1-88.93	SI1(88.5 to 89.2)	SI1-88.93-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	129.5	-72.9	0.2	7	0
This study	Simpson Island	SI1-88.93	SI1(88.5 to 89.2)	SI1-88.93-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	92.8	-68.9	0.2	7	100
This study	Simpson Island	SI1-88.97	SI1(88.5 to 89.2)	SI1-88.97-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	134.7	-79.5	0.2	7	0
This study	Simpson Island	SI1-88.97	SI1(88.5 to 89.2)	SI1-88.97-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.06	0.02	T	80.1	-74.3	0.2	7	100
This study	Simpson Island	SI1-89.0	SI1(88.5 to 89.2)	SI1-89.0-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	134.8	-71.5	0.2	7	0
This study	Simpson Island	SI1-89.0	SI1(88.5 to 89.2)	SI1-89.0-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	98.7	-68.8	0.2	7	100
This study	Simpson Island	SI1-89.15	SI1(88.5 to 89.2)	SI1-89.15-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	104.7	-71.7	0.5	7	0
This study	Simpson Island	SI1-89.15	SI1(88.5 to 89.2)	SI1-89.15-D	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.03	T	78.7	-63.9	0.5	7	100
This study	Simpson Island	SI1-89.25	SI1(89.2 to 91.5)	SI1-89.25-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.005	T	139.2	-71.4	0.6	14	0
This study	Simpson Island	SI1-89.25	SI1(89.2 to 91.5)	SI1-89.25-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.005	T	102	-69.6	0.6	14	100
This study	Simpson Island	SI1-89.92	SI1(89.2 to 91.5)	SI1-89.92-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.005	T	119.4	-66.1	1	16	0
This study	Simpson Island	SI1-89.92	SI1(89.2 to 91.5)	SI1-89.92-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.005	T	94.6	-61.4	1	16	100
This study	Simpson Island	SI1-90.0	SI1(89.2 to 91.5)	SI1-90.0-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.005	T	114.2	-67.9	0.9	16	0
This study	Simpson Island	SI1-90.0	SI1(89.2 to 91.5)	SI1-90.0-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.005	T	89	-62	0.9	16	100
This study	Simpson Island	SI1-90.05	SI1(89.2 to 91.5)	SI1-90.05-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.005	T	112.8	-72.8	0.9	16	0
This study	Simpson Island	SI1-90.05	SI1(89.2 to 91.5)	SI1-90.05-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.005	T	82.4	-66	0.9	16	100
This study	Simpson Island	SI1-91.1	SI1(89.2 to 91.5)	SI1-91.1-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.005	T	106	-84.7	0.4	16	0
This study	Simpson Island	SI1-91.1	SI1(89.2 to 91.5)	SI1-91.1-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.005	T	56.4	-74.3	0.4	16	100
This study	Simpson Island	SI1-91.2	SI1(89.2 to 91.5)	SI1-91.2-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.005	T	141.5	-51.4	0.4	16	0
This study	Simpson Island	SI1-91.2	SI1(89.2 to 91.5)	SI1-91.2-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.14	0.005	T	124.7	-52.7	0.4	16	100
This study	Simpson Island	SI1-91.6	SI1(91.5 to 92.6)	SI1-91.6-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.003	T	105.7	-76	0.3	15	0
This study	Simpson Island	SI1-91.6	SI1(91.5 to 92.6)	SI1-91.6-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.003	T	74.1	-67.6	0.3	15	100
This study	Simpson Island	SI1-91.61	SI1(91.5 to 92.6)	SI1-91.61-A	IRM-SRM-U	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4	0.1	0.003	T	121.1	-74	0.2	15	0
