tab 	pmag_results
average_age	average_age_high	average_age_low	average_age_unit	average_alpha95	average_dec	average_height	average_inc	average_lat	average_lon	average_n	average_nn	er_citation_names	er_location_names	er_site_names	magic_method_codes	pmag_result_name	tilt_dec_corr	tilt_dec_uncorr	tilt_inc_corr	tilt_inc_uncorr	vgp_alpha95	vgp_lat	vgp_lon
1106	1110	1103	Ma	4.1	64.4	1195.0	-65.3	48.7718	-87.6221		8	This study	Simpson Island	SI9(12.0 to 21.2)	DE-FM:LP-DC4:LP-DIR-AF	SI9(12.0 to 21.2)	64.4	107.7	-65.3	-69		21.1	231.5
1106	1110	1103	Ma	3.6	67.4	1249.9	-68.1	48.7700	-87.6203		7	This study	Simpson Island	SI9(66.9 to 84.0)	DE-FM:LP-DC4:LP-DIR-AF	SI9(66.9 to 84.0)	67.4	116	-68.1	-70		25.3	232.7
1106	1110	1103	Ma	4.2	47.1	1267.0	-69.2	48.7696	-87.6204		8	This study	Simpson Island	SI9(84.0 to 88.9)	DE-FM:LP-DC4:LP-DIR-AF	SI9(84.0 to 88.9)	47.1	104.7	-69.2	-76.7		19.1	244.4
1106	1110	1103	Ma	5.4	96	1322.8	-51.8	48.7680	-87.6192		8	This study	Simpson Island	SI9(139.8 to 160.0)	DE-FM:LP-DC4:LP-DIR-AF	SI9(139.8 to 160.0)	96	117.6	-51.8	-48.6		27.5	201.2
1106	1110	1103	Ma	4.7	98.5	1343.0	-53.2	48.7676	-87.6189		8	This study	Simpson Island	SI9(160.0 to 166.5)	DE-FM:LP-DC4:LP-DIR-AF	SI9(160.0 to 166.5)	98.5	120.6	-53.2	-49.2		29.9	200.8
1106	1110	1103	Ma	9.3	109.6	1349.5	-53	48.7674	-87.6185		8	This study	Simpson Island	SI9(166.5 to 171.4)	DE-FM:LP-DC4:LP-DIR-AF	SI9(166.5 to 171.4)	109.6	129.3	-53	-45.9		36.9	193.5
1106	1110	1103	Ma	6.9	111.7	1354.4	-46.1	48.7672	-87.6190		6	This study	Simpson Island	SI9(171.4 to 188.8)	DE-FM:LP-DC4:LP-DIR-AF	SI9(171.4 to 188.8)	111.7	127.2	-46.1	-39.1		34.3	186.3
1106	1110	1103	Ma	2.8	121.8	1495.1	-61.2	48.7662	-87.6181		8	This study	Simpson Island	SI9(312.1 to 321.0)	DE-FM:LP-DC4:LP-DIR-AF	SI9(312.1 to 321.0)	121.8	143.6	-61.2	-50.4		49.7	195.8
1106	1110	1103	Ma	3.9	115.2	1519.4	-56.4	48.7630	-87.6151		8	This study	Simpson Island	SI9(336.4 to 353.8)	DE-FM:LP-DC4:LP-DIR-AF	SI9(336.4 to 353.8)	115.2	135.7	-56.4	-47.6		42.6	193.4
1106	1110	1103	Ma	7.3	116.6	1558.9	-55.3	48.7623	-87.6142		4	This study	Simpson Island	SI9(375.9 to 381.0)	DE-FM:LP-DC4:LP-DIR-AF	SI9(375.9 to 381.0)	116.6	136.1	-55.3	-46.3		42.8	191.3
