tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	treatment_ac_field	treatment_temp
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	SI1-13.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:24:37.00	-18.39098802	g	-44.34214671	3.72E-06	756566	0.667	u	0.02	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	SI1-14.2-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:24:52.00	-7.350860009	g	-72.4881989	2.30E-06	756567	0.867	u	0.02	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	SI1-14.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:25:07.00	-5.480949278	g	-65.3676543	1.53E-05	756568	1.067	u	0.02	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	SI1-14.9-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:25:22.00	-4.700037228	g	-37.22947163	1.51E-05	756569	1.267	u	0.02	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	SI1-12.5-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:29:24.00	-6.578699816	g	-36.16330586	1.82E-06	756570	0.067	u	0.025	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	SI1-12.55-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:29:39.00	-15.23578633	g	-31.95133414	8.80E-06	756571	0.267	u	0.025	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	SI1-13.0-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:29:55.00	25.96505198	g	-69.89289561	1.37E-06	756572	0.467	u	0.025	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	SI1-13.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:30:10.00	-18.24417788	g	-44.47304085	2.78E-06	756573	0.667	u	0.025	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	SI1-14.2-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:30:25.00	-8.36796768	g	-73.78626778	1.68E-06	756574	0.867	u	0.025	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	SI1-14.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:30:40.00	-5.323524031	g	-65.47896465	1.24E-05	756575	1.067	u	0.025	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	SI1-14.9-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:30:55.00	-4.700857438	g	-37.21997418	1.23E-05	756576	1.267	u	0.025	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	SI1-12.5-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:35:01.00	-7.92568224	g	-37.77503623	1.36E-06	756577	0.067	u	0.03	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	SI1-12.55-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:35:17.00	-15.68260792	g	-31.532976	6.43E-06	756578	0.267	u	0.03	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	SI1-13.0-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:35:32.00	34.44873241	g	-76.645421	9.83E-07	756579	0.467	u	0.03	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	SI1-13.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:35:47.00	-19.76565895	g	-43.38530118	1.96E-06	756580	0.667	u	0.03	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	SI1-14.2-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:36:02.00	3.340611574	g	-71.37338159	1.20E-06	756581	0.867	u	0.03	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	SI1-14.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:36:17.00	-5.290735286	g	-65.42447304	9.88E-06	756582	1.067	u	0.03	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	SI1-14.9-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:36:32.00	-4.697659522	g	-37.23581429	9.93E-06	756583	1.267	u	0.03	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	SI1-12.5-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:40:48.00	-8.182401188	g	-37.09298685	1.08E-06	756584	0.067	u	0.035	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	SI1-12.55-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:41:03.00	-16.51242265	g	-30.97335957	4.92E-06	756585	0.267	u	0.035	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	SI1-13.0-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:41:18.00	17.78324194	g	-73.30874673	8.20E-07	756586	0.467	u	0.035	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	SI1-13.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:41:33.00	-22.38776266	g	-42.14585644	1.45E-06	756587	0.667	u	0.035	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	SI1-14.2-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:41:48.00	-1.40922236	g	-74.070337	9.21E-07	756588	0.867	u	0.035	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	SI1-14.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:42:03.00	-5.367620423	g	-65.6340919	8.24E-06	756589	1.067	u	0.035	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	SI1-14.9-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:42:18.00	-4.570569467	g	-37.06107806	8.34E-06	756590	1.267	u	0.035	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	SI1-12.5-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:46:37.00	-6.023309012	g	-37.79207164	8.91E-07	756591	0.067	u	0.04	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	SI1-12.55-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:46:52.00	-15.18542455	g	-30.90469978	4.13E-06	756592	0.267	u	0.04	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	SI1-13.0-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:47:07.00	17.92872147	g	-68.34506957	6.76E-07	756593	0.467	u	0.04	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	SI1-13.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:47:22.00	-19.09371062	g	-40.91116904	1.20E-06	756594	0.667	u	0.04	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	SI1-14.2-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:47:38.00	-6.601113499	g	-72.09458119	8.03E-07	756595	0.867	u	0.04	300
