tab	sites
age	age_high	age_low	age_sigma	age_unit	citations	criteria	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    4.2 	HT	  298.5 	   34.9 	   177 	8	8 	8 	0 	t	7.9605 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB23-10:GB23-11:GB23-1:GB23-3:GB23-4:GB23-5:GB23-7:GB23-8	GB23	pmagpy-3.8.9-2: demag_gui.v.3.0	GB23-10a:GB23-11a:GB23-1a:GB23-3a:GB23-4a:GB23-5a:GB23-7a:GB23-8a	    4.8 	    2.8 	   33.2 	  171.2 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    4.2 	HT	  299.7 	   44.3 	   177 	8	8 	8 	0 	n	7.9605 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB23-10:GB23-11:GB23-1:GB23-3:GB23-4:GB23-5:GB23-7:GB23-8	GB23	pmagpy-3.8.9-2: demag_gui.v.3.0	GB23-10a:GB23-11a:GB23-1a:GB23-3a:GB23-4a:GB23-5a:GB23-7a:GB23-8a	    5.3 	    3.3 	   38.6 	  176.5 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.9 	HT	  295.9 	   35.6 	   283 	10	10 	10 	0 	t	9.9683 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB24-10:GB24-1:GB24-2:GB24-3:GB24-4:GB24-5:GB24-6:GB24-7:GB24-8:GB24-9	GB24	pmagpy-3.8.9-2: demag_gui.v.3.0	GB24-10a:GB24-1a:GB24-2a:GB24-3a:GB24-4a:GB24-5a:GB24-6a:GB24-7a:GB24-8a:GB24-9a	    3.4 	    1.9 	   31.8 	  173.7 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.9 	HT	  296.7 	   45.1 	   283 	10	10 	10 	0 	n	9.9682 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB24-10:GB24-1:GB24-2:GB24-3:GB24-4:GB24-5:GB24-6:GB24-7:GB24-8:GB24-9	GB24	pmagpy-3.8.9-2: demag_gui.v.3.0	GB24-10a:GB24-1a:GB24-2a:GB24-3a:GB24-4a:GB24-5a:GB24-6a:GB24-7a:GB24-8a:GB24-9a	    3.7 	    2.3 	   37.0 	  179.3 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    5.8 	HT	  295.3 	   36.2 	   111 	7	7 	7 	0 	t	6.9459 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB25-1:GB25-3:GB25-4:GB25-5:GB25-6:GB25-7:GB25-8	GB25	pmagpy-3.8.9-2: demag_gui.v.3.0	GB25-1a:GB25-3a:GB25-4a:GB25-5a:GB25-6a:GB25-7a:GB25-8a	    6.7 	    3.9 	   31.7 	  174.5 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    5.8 	HT	  296.0 	   45.7 	   111 	7	7 	7 	0 	n	6.9460 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB25-1:GB25-3:GB25-4:GB25-5:GB25-6:GB25-7:GB25-8	GB25	pmagpy-3.8.9-2: demag_gui.v.3.0	GB25-1a:GB25-3a:GB25-4a:GB25-5a:GB25-6a:GB25-7a:GB25-8a	    7.4 	    4.7 	   36.8 	  180.3 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.1 	HT	  301.8 	   28.6 	   727 	8	8 	8 	0 	t	7.9904 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB26-1:GB26-2:GB26-3:GB26-4:GB26-6:GB26-7:GB26-8:GB26-9	GB26	pmagpy-3.8.9-2: demag_gui.v.3.0	GB26-1a:GB26-2a:GB26-3a:GB26-4a:GB26-6a:GB26-7a:GB26-8a:GB26-9a	    2.3 	    1.3 	   32.6 	  165.2 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.1 	HT	  303.0 	   37.8 	   725 	8	8 	8 	0 	n	7.9903 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB26-1:GB26-2:GB26-3:GB26-4:GB26-6:GB26-7:GB26-8:GB26-9	GB26	pmagpy-3.8.9-2: demag_gui.v.3.0	GB26-1a:GB26-2a:GB26-3a:GB26-4a:GB26-6a:GB26-7a:GB26-8a:GB26-9a	    2.5 	    1.5 	   37.6 	  169.4 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.3 	HT	  301.5 	   32.2 	   582 	8	8 	8 	0 	t	7.9880 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB27-1:GB27-2:GB27-3:GB27-4:GB27-5:GB27-6:GB27-7:GB27-8	GB27	pmagpy-3.8.9-2: demag_gui.v.3.0	GB27-1a:GB27-2a:GB27-3a:GB27-4a:GB27-5a:GB27-6a:GB27-7a:GB27-8a	    2.6 	    1.5 	   34.0 	  167.3 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.3 	HT	  302.9 	   41.5 	   584 	8	8 	8 	0 	n	7.9880 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB27-1:GB27-2:GB27-3:GB27-4:GB27-5:GB27-6:GB27-7:GB27-8	GB27	pmagpy-3.8.9-2: demag_gui.v.3.0	GB27-1a:GB27-2a:GB27-3a:GB27-4a:GB27-5a:GB27-6a:GB27-7a:GB27-8a	    2.8 	    1.7 	   39.4 	  171.9 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.0 	HT	  300.8 	   33.5 	  1157 	6	6 	6 	0 	t	5.9957 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB28-1:GB28-2:GB28-3:GB28-4:GB28-5:GB28-6	GB28	pmagpy-3.8.9-2: demag_gui.v.3.0	GB28-1a:GB28-2a:GB28-3a:GB28-4a:GB28-5a:GB28-6a	    2.3 	    1.3 	   34.1 	  168.6 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.0 	HT	  302.2 	   42.8 	  1163 	6	6 	6 	0 	n	5.9957 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB28-1:GB28-2:GB28-3:GB28-4:GB28-5:GB28-6	GB28	pmagpy-3.8.9-2: demag_gui.v.3.0	GB28-1a:GB28-2a:GB28-3a:GB28-4a:GB28-5a:GB28-6a	    2.5 	    1.5 	   39.6 	  173.4 
