tab 	samples
azimuth	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	sample	site
119.0	17.0	132.0	This study	-12	Extrusive	Lava Flow	2.4	47.52977	Basalt	269.06967	SO-CMD-NORTH	SLB20.6	SLB20
15.0	17.0	132.0	This study	-23	Extrusive	Lava Flow	1.8	47.52977	Basalt	269.06967	SO-CMD-NORTH	SLB20.7	SLB20
321.0	17.0	132.0	This study	-19	Extrusive	Lava Flow	1.9	47.52977	Basalt	269.06967	SO-CMD-NORTH	SLB20.8	SLB20
20.0	17.0	132.0	This study	-16	Extrusive	Lava Flow	6.4	47.52953	Basalt	269.06998	SO-CMD-NORTH	SLB21.1	SLB21
9.0	17.0	132.0	This study	-26	Extrusive	Lava Flow	6.4	47.52953	Basalt	269.06998	SO-CMD-NORTH	SLB21.2	SLB21
288.0	17.0	132.0	This study	-35	Extrusive	Lava Flow	6.1	47.52953	Basalt	269.06998	SO-CMD-NORTH	SLB21.3	SLB21
285.0	17.0	132.0	This study	-33	Extrusive	Lava Flow	6.6	47.52953	Basalt	269.06998	SO-CMD-NORTH	SLB21.4	SLB21
260.0	17.0	132.0	This study	-15	Extrusive	Lava Flow	6.8	47.52953	Basalt	269.06998	SO-CMD-NORTH	SLB21.5	SLB21
329.0	17.0	132.0	This study	-49	Extrusive	Lava Flow	6.8	47.52953	Basalt	269.06998	SO-CMD-NORTH	SLB21.6	SLB21
335.0	17.0	132.0	This study	-27	Extrusive	Lava Flow	7.0	47.52953	Basalt	269.06998	SO-CMD-NORTH	SLB21.7	SLB21
313.0	17.0	132.0	This study	-31	Extrusive	Lava Flow	7.6	47.52953	Basalt	269.06998	SO-CMD-NORTH	SLB21.8	SLB21
240.0	17.0	132.0	This study	-33	Extrusive	Lava Flow	1.6	47.527939	Basalt	269.06879	SO-CMD-NORTH	SLB22.1	SLB22
218.0	17.0	132.0	This study	-29	Extrusive	Lava Flow	1.6	47.527939	Basalt	269.06879	SO-CMD-NORTH	SLB22.2	SLB22
135.0	17.0	132.0	This study	-20	Extrusive	Lava Flow	1.8	47.527939	Basalt	269.06879	SO-CMD-NORTH	SLB22.3	SLB22
174.0	17.0	132.0	This study	-54	Extrusive	Lava Flow	2.1	47.527939	Basalt	269.06879	SO-CMD-NORTH	SLB22.4	SLB22
203.0	17.0	132.0	This study	-12	Extrusive	Lava Flow	1.6	47.527939	Basalt	269.06879	SO-CMD-NORTH	SLB22.5	SLB22
323.0	17.0	132.0	This study	-4	Extrusive	Lava Flow	1.6	47.527939	Basalt	269.06879	SO-CMD-NORTH	SLB22.6	SLB22
50.0	17.0	132.0	This study	-20	Extrusive	Lava Flow	1.5	47.527939	Basalt	269.06879	SO-CMD-NORTH	SLB22.7	SLB22
188.0	17.0	132.0	This study	-17	Extrusive	Lava Flow	1.8	47.527939	Basalt	269.06879	SO-CMD-NORTH	SLB22.8	SLB22
340.0	17.0	132.0	This study	-26	Extrusive	Lava Flow	1.6	47.527828	Basalt	269.06879	SO-CMD-NORTH	SLB23.1	SLB23
320.0	17.0	132.0	This study	-44	Extrusive	Lava Flow	1.6	47.527828	Basalt	269.06879	SO-CMD-NORTH	SLB23.2	SLB23
350.0	17.0	132.0	This study	-29	Extrusive	Lava Flow	1.6	47.527828	Basalt	269.06879	SO-CMD-NORTH	SLB23.3	SLB23
326.0	17.0	132.0	This study	-35	Extrusive	Lava Flow	1.6	47.527828	Basalt	269.06879	SO-CMD-NORTH	SLB23.4	SLB23
59.0	17.0	132.0	This study	-14	Extrusive	Lava Flow	0.9	47.527828	Basalt	269.06879	SO-CMD-NORTH	SLB23.5	SLB23
141.0	17.0	132.0	This study	-51	Extrusive	Lava Flow	0.9	47.527828	Basalt	269.06879	SO-CMD-NORTH	SLB23.6	SLB23
141.0	17.0	132.0	This study	-49	Extrusive	Lava Flow	0.9	47.527828	Basalt	269.06879	SO-CMD-NORTH	SLB23.7	SLB23
328.0	17.0	132.0	This study	-38	Extrusive	Lava Flow	2.3	47.527828	Basalt	269.06879	SO-CMD-NORTH	SLB23.8	SLB23
254.0	17.0	132.0	This study	-22	Extrusive	Lava Flow	0.3	47.527561	Basalt	269.06866	SO-CMD-NORTH	SLB24.1	SLB24
216.0	17.0	132.0	This study	-22	Extrusive	Lava Flow	0.3	47.527561	Basalt	269.06866	SO-CMD-NORTH	SLB24.2	SLB24
288.0	17.0	132.0	This study	-21	Extrusive	Lava Flow	0.4	47.527561	Basalt	269.06866	SO-CMD-NORTH	SLB24.3	SLB24
245.0	17.0	132.0	This study	-16	Extrusive	Lava Flow	0.4	47.527561	Basalt	269.06866	SO-CMD-NORTH	SLB24.4	SLB24
56.0	17.0	132.0	This study	-39	Extrusive	Lava Flow	0.9	47.527561	Basalt	269.06866	SO-CMD-NORTH	SLB24.5	SLB24
52.0	17.0	132.0	This study	-44	Extrusive	Lava Flow	1.0	47.527561	Basalt	269.06866	SO-CMD-NORTH	SLB24.6	SLB24
57.0	17.0	132.0	This study	-50	Extrusive	Lava Flow	0.9	47.527561	Basalt	269.06866	SO-CMD-NORTH	SLB24.7	SLB24
44.0	17.0	132.0	This study	-22	Extrusive	Lava Flow	0.9	47.527561	Basalt	269.06866	SO-CMD-NORTH	SLB24.8	SLB24
15.0	17.0	132.0	This study	-34	Extrusive	Lava Flow	0.9	47.527561	Basalt	269.06866	SO-CMD-NORTH	SLB24.9	SLB24
300.0	17.0	132.0	This study	-26	Extrusive	Lava Flow	0.0	47.527191	Basalt	269.06894	SO-CMD-NORTH	SLB25.1	SLB25
344.0	17.0	132.0	This study	-18	Extrusive	Lava Flow	0.0	47.527191	Basalt	269.06894	SO-CMD-NORTH	SLB25.10	SLB25
288.0	17.0	132.0	This study	-27	Extrusive	Lava Flow	0.0	47.527191	Basalt	269.06894	SO-CMD-NORTH	SLB25.2	SLB25
28.0	17.0	132.0	This study	-11	Extrusive	Lava Flow	0.0	47.527191	Basalt	269.06894	SO-CMD-NORTH	SLB25.3	SLB25
323.0	17.0	132.0	This study	-17	Extrusive	Lava Flow	0.0	47.527191	Basalt	269.06894	SO-CMD-NORTH	SLB25.4	SLB25
315.0	17.0	132.0	This study	-22	Extrusive	Lava Flow	0.0	47.527191	Basalt	269.06894	SO-CMD-NORTH	SLB25.5	SLB25
302.0	17.0	132.0	This study	-19	Extrusive	Lava Flow	0.0	47.527191	Basalt	269.06894	SO-CMD-NORTH	SLB25.6	SLB25
233.0	17.0	132.0	This study	-19	Extrusive	Lava Flow	0.0	47.527191	Basalt	269.06894	SO-CMD-NORTH	SLB25.7	SLB25
331.0	17.0	132.0	This study	-28	Extrusive	Lava Flow	0.0	47.527191	Basalt	269.06894	SO-CMD-NORTH	SLB25.8	SLB25
355.0	17.0	132.0	This study	-23	Extrusive	Lava Flow	0.0	47.527191	Basalt	269.06894	SO-CMD-NORTH	SLB25.9	SLB25
165.0	17.0	132.0	This study	-66	Extrusive	Lava Flow	2.1	47.52652	Basalt	269.06909	SO-CMD-NORTH	SLB26.1	SLB26
154.0	17.0	132.0	This study	-46	Extrusive	Lava Flow	2.1	47.52652	Basalt	269.06909	SO-CMD-NORTH	SLB26.2	SLB26
236.0	17.0	132.0	This study	-38	Extrusive	Lava Flow	2.0	47.52652	Basalt	269.06909	SO-CMD-NORTH	SLB26.3	SLB26
191.0	17.0	132.0	This study	-21	Extrusive	Lava Flow	2.3	47.52652	Basalt	269.06909	SO-CMD-NORTH	SLB26.4	SLB26
177.0	17.0	132.0	This study	-52	Extrusive	Lava Flow	2.3	47.52652	Basalt	269.06909	SO-CMD-NORTH	SLB26.5	SLB26
177.0	17.0	132.0	This study	-18	Extrusive	Lava Flow	2.2	47.52652	Basalt	269.06909	SO-CMD-NORTH	SLB26.6	SLB26
187.0	17.0	132.0	This study	-29	Extrusive	Lava Flow	2.2	47.52652	Basalt	269.06909	SO-CMD-NORTH	SLB26.7	SLB26
189.0	17.0	132.0	This study	-34	Extrusive	Lava Flow	2.3	47.52652	Basalt	269.06909	SO-CMD-NORTH	SLB26.8	SLB26
177.0	17.0	132.0	This study	-17	Extrusive	Lava Flow	2.8	47.52626	Basalt	269.06943	SO-CMD-NORTH	SLB27.1	SLB27
104.0	17.0	132.0	This study	-15	Extrusive	Lava Flow	2.8	47.52626	Basalt	269.06943	SO-CMD-NORTH	SLB27.2	SLB27
163.0	17.0	132.0	This study	-40	Extrusive	Lava Flow	2.7	47.52626	Basalt	269.06943	SO-CMD-NORTH	SLB27.3	SLB27
93.0	17.0	132.0	This study	-34	Extrusive	Lava Flow	2.5	47.52626	Basalt	269.06943	SO-CMD-NORTH	SLB27.4	SLB27
122.0	17.0	132.0	This study	-27	Extrusive	Lava Flow	2.6	47.52626	Basalt	269.06943	SO-CMD-NORTH	SLB27.5	SLB27
88.0	17.0	132.0	This study	-26	Extrusive	Lava Flow	2.7	47.52626	Basalt	269.06943	SO-CMD-NORTH	SLB27.6	SLB27
178.0	17.0	132.0	This study	-14	Extrusive	Lava Flow	2.8	47.52626	Basalt	269.06943	SO-CMD-NORTH	SLB27.7	SLB27
20.0	17.0	132.0	This study	-42	Extrusive	Lava Flow	3.1	47.52626	Basalt	269.06943	SO-CMD-NORTH	SLB27.8	SLB27
101.0	17.0	132.0	This study	-34	Extrusive	Lava Flow	3.4	47.52626	Basalt	269.06943	SO-CMD-NORTH	SLB27.9	SLB27
141.0	17.0	132.0	This study	-62	Extrusive	Lava Flow	1.6	47.52589	Basalt	269.07111	SO-CMD-NORTH	SLB28.1	SLB28
141.0	17.0	132.0	This study	-58	Extrusive	Lava Flow	2.7	47.52589	Basalt	269.07111	SO-CMD-NORTH	SLB28.2	SLB28
135.0	17.0	132.0	This study	-61	Extrusive	Lava Flow	1.7	47.52589	Basalt	269.07111	SO-CMD-NORTH	SLB28.3	SLB28
126.0	17.0	132.0	This study	-27	Extrusive	Lava Flow	1.9	47.52589	Basalt	269.07111	SO-CMD-NORTH	SLB28.4	SLB28
82.0	17.0	132.0	This study	-79	Extrusive	Lava Flow	2.9	47.52589	Basalt	269.07111	SO-CMD-NORTH	SLB28.5	SLB28
173.0	17.0	132.0	This study	-39	Extrusive	Lava Flow	2.9	47.52589	Basalt	269.07111	SO-CMD-NORTH	SLB28.6	SLB28
165.0	17.0	132.0	This study	-37	Extrusive	Lava Flow	2.9	47.52589	Basalt	269.07111	SO-CMD-NORTH	SLB28.7	SLB28
272.0	17.0	132.0	This study	-9	Extrusive	Lava Flow	2.4	47.52589	Basalt	269.07111	SO-CMD-NORTH	SLB28.8	SLB28
279.8	17.0	132.0	This study	-32	Extrusive	Lava Flow	1.4	47.52597	Basalt	269.07172	SO-CMD-NORTH	SLB29.2	SLB29
281.3	17.0	132.0	This study	-32	Extrusive	Lava Flow	1.5	47.52597	Basalt	269.07172	SO-CMD-NORTH	SLB29.3	SLB29
245.3	17.0	132.0	This study	-26	Extrusive	Lava Flow	1.6	47.52597	Basalt	269.07172	SO-CMD-NORTH	SLB29.4	SLB29
96.8	17.0	132.0	This study	-12	Extrusive	Lava Flow	2.0	47.52597	Basalt	269.07172	SO-CMD-NORTH	SLB29.5	SLB29
135.8	17.0	132.0	This study	-23	Extrusive	Lava Flow	2.2	47.52597	Basalt	269.07172	SO-CMD-NORTH	SLB29.6	SLB29
64.0	17.0	132.0	This study	-29	Extrusive	Lava Flow	2.6	47.52597	Basalt	269.07172	SO-CMD-NORTH	SLB29.7	SLB29
73.4	17.0	132.0	This study	-19	Extrusive	Lava Flow	3.3	47.52597	Basalt	269.07172	SO-CMD-NORTH	SLB29.8	SLB29
246.0	17.0	132.0	This study	-26	Extrusive	Lava Flow	0.9	47.525391	Basalt	269.07367	SO-CMD-NORTH	SLB30.1	SLB30
267.0	17.0	132.0	This study	-37	Extrusive	Lava Flow	0.7	47.525391	Basalt	269.07367	SO-CMD-NORTH	SLB30.2	SLB30
288.0	17.0	132.0	This study	-25	Extrusive	Lava Flow	0.9	47.525391	Basalt	269.07367	SO-CMD-NORTH	SLB30.3	SLB30
232.0	17.0	132.0	This study	-20	Extrusive	Lava Flow	0.9	47.525391	Basalt	269.07367	SO-CMD-NORTH	SLB30.4	SLB30
329.0	17.0	132.0	This study	-26	Extrusive	Lava Flow	0.8	47.525391	Basalt	269.07367	SO-CMD-NORTH	SLB30.5	SLB30
320.0	17.0	132.0	This study	-30	Extrusive	Lava Flow	0.9	47.525391	Basalt	269.07367	SO-CMD-NORTH	SLB30.6	SLB30
173.0	17.0	132.0	This study	-38	Extrusive	Lava Flow	0.9	47.525391	Basalt	269.07367	SO-CMD-NORTH	SLB30.7	SLB30
196.0	17.0	132.0	This study	-37	Extrusive	Lava Flow	1.3	47.525391	Basalt	269.07367	SO-CMD-NORTH	SLB30.8	SLB30
182.0	17.0	132.0	This study	-32	Extrusive	Lava Flow	1.1	47.525291	Basalt	269.07382	SO-CMD-NORTH	SLB31.1	SLB31
170.0	17.0	132.0	This study	-35	Extrusive	Lava Flow	1.2	47.525291	Basalt	269.07382	SO-CMD-NORTH	SLB31.2	SLB31
181.0	17.0	132.0	This study	-42	Extrusive	Lava Flow	1.3	47.525291	Basalt	269.07382	SO-CMD-NORTH	SLB31.3	SLB31
261.0	17.0	132.0	This study	-23	Extrusive	Lava Flow	1.2	47.525291	Basalt	269.07382	SO-CMD-NORTH	SLB31.4	SLB31
195.0	17.0	132.0	This study	-29	Extrusive	Lava Flow	1.3	47.525291	Basalt	269.07382	SO-CMD-NORTH	SLB31.5	SLB31
160.0	17.0	132.0	This study	-29	Extrusive	Lava Flow	0.9	47.525291	Basalt	269.07382	SO-CMD-NORTH	SLB31.6	SLB31
208.0	17.0	132.0	This study	-50	Extrusive	Lava Flow	1.2	47.525291	Basalt	269.07382	SO-CMD-NORTH	SLB31.7	SLB31
189.0	17.0	132.0	This study	-44	Extrusive	Lava Flow	0.9	47.525291	Basalt	269.07382	SO-CMD-NORTH	SLB31.8	SLB31
143.0	17.0	132.0	This study	-25	Extrusive	Lava Flow	0.8	47.525291	Basalt	269.07382	SO-CMD-NORTH	SLB31.9	SLB31
119.0	17.0	132.0	This study	-62	Extrusive	Lava Flow	0.3	47.524979	Basalt	269.07428	SO-CMD-NORTH	SLB32.1	SLB32
114.0	17.0	132.0	This study	-55	Extrusive	Lava Flow	0.4	47.524979	Basalt	269.07428	SO-CMD-NORTH	SLB32.2	SLB32
89.0	17.0	132.0	This study	-62	Extrusive	Lava Flow	0.3	47.524979	Basalt	269.07428	SO-CMD-NORTH	SLB32.3	SLB32
89.0	17.0	132.0	This study	-65	Extrusive	Lava Flow	0.4	47.524979	Basalt	269.07428	SO-CMD-NORTH	SLB32.4	SLB32
97.0	17.0	132.0	This study	-69	Extrusive	Lava Flow	0.5	47.524979	Basalt	269.07428	SO-CMD-NORTH	SLB32.5	SLB32
93.0	17.0	132.0	This study	-74	Extrusive	Lava Flow	0.6	47.524979	Basalt	269.07428	SO-CMD-NORTH	SLB32.6	SLB32
95.0	17.0	132.0	This study	-78	Extrusive	Lava Flow	0.7	47.524979	Basalt	269.07428	SO-CMD-NORTH	SLB32.7	SLB32
102.0	17.0	132.0	This study	-70	Extrusive	Lava Flow	1.0	47.524979	Basalt	269.07428	SO-CMD-NORTH	SLB32.8	SLB32
295.0	17.0	132.0	This study	-26	Extrusive	Lava Flow	0.3	47.524891	Basalt	269.07443	SO-CMD-NORTH	SLB33.1	SLB33
350.0	17.0	132.0	This study	-34	Extrusive	Lava Flow	0.8	47.524891	Basalt	269.07443	SO-CMD-NORTH	SLB33.2	SLB33
332.0	17.0	132.0	This study	-21	Extrusive	Lava Flow	0.8	47.524891	Basalt	269.07443	SO-CMD-NORTH	SLB33.3	SLB33
8.0	17.0	132.0	This study	-28	Extrusive	Lava Flow	1.0	47.524891	Basalt	269.07443	SO-CMD-NORTH	SLB33.4	SLB33
59.0	17.0	132.0	This study	-16	Extrusive	Lava Flow	1.4	47.524891	Basalt	269.07443	SO-CMD-NORTH	SLB33.5	SLB33
17.0	17.0	132.0	This study	-21	Extrusive	Lava Flow	1.6	47.524891	Basalt	269.07443	SO-CMD-NORTH	SLB33.6	SLB33
64.0	17.0	132.0	This study	-55	Extrusive	Lava Flow	1.4	47.524891	Basalt	269.07443	SO-CMD-NORTH	SLB33.7	SLB33
27.0	17.0	132.0	This study	-20	Extrusive	Lava Flow	1.6	47.524891	Basalt	269.07443	SO-CMD-NORTH	SLB33.8	SLB33
7.0	17.0	132.0	This study	-76	Extrusive	Lava Flow	0.6	47.524879	Basalt	269.07446	SO-CMD-NORTH	SLB34.1	SLB34
25.0	17.0	132.0	This study	-90	Extrusive	Lava Flow	0.5	47.524879	Basalt	269.07446	SO-CMD-NORTH	SLB34.2	SLB34
27.0	17.0	132.0	This study	-92	Extrusive	Lava Flow	0.4	47.524879	Basalt	269.07446	SO-CMD-NORTH	SLB34.3	SLB34
16.0	17.0	132.0	This study	-90	Extrusive	Lava Flow	0.4	47.524879	Basalt	269.07446	SO-CMD-NORTH	SLB34.4	SLB34
26.0	17.0	132.0	This study	-88	Extrusive	Lava Flow	0.3	47.524879	Basalt	269.07446	SO-CMD-NORTH	SLB34.5	SLB34
30.0	17.0	132.0	This study	-81	Extrusive	Lava Flow	0.4	47.524879	Basalt	269.07446	SO-CMD-NORTH	SLB34.6	SLB34
62.0	17.0	132.0	This study	-46	Extrusive	Lava Flow	0.7	47.524879	Basalt	269.07446	SO-CMD-NORTH	SLB34.7	SLB34
356.0	17.0	132.0	This study	-43	Extrusive	Lava Flow	0.8	47.524879	Basalt	269.07446	SO-CMD-NORTH	SLB34.8	SLB34
283.0	17.0	132.0	This study	-8	Extrusive	Lava Flow	0.8	47.524639	Basalt	269.07468	SO-CMD-NORTH	SLB35.1	SLB35
285.0	17.0	132.0	This study	-10	Extrusive	Lava Flow	0.9	47.524639	Basalt	269.07468	SO-CMD-NORTH	SLB35.2	SLB35
271.0	17.0	132.0	This study	-22	Extrusive	Lava Flow	0.7	47.524639	Basalt	269.07468	SO-CMD-NORTH	SLB35.3	SLB35
251.0	17.0	132.0	This study	-24	Extrusive	Lava Flow	0.6	47.524639	Basalt	269.07468	SO-CMD-NORTH	SLB35.4	SLB35
305.0	17.0	132.0	This study	-14	Extrusive	Lava Flow	0.7	47.524639	Basalt	269.07468	SO-CMD-NORTH	SLB35.5	SLB35
246.0	17.0	132.0	This study	-13	Extrusive	Lava Flow	1.0	47.524639	Basalt	269.07468	SO-CMD-NORTH	SLB35.6	SLB35
262.0	17.0	132.0	This study	-12	Extrusive	Lava Flow	1.1	47.524639	Basalt	269.07468	SO-CMD-NORTH	SLB35.7	SLB35
353.0	17.0	132.0	This study	-21	Extrusive	Lava Flow	1.0	47.524639	Basalt	269.07468	SO-CMD-NORTH	SLB35.8	SLB35
1.0	17.0	132.0	This study	-21	Extrusive	Lava Flow	1.0	47.524639	Basalt	269.07468	SO-CMD-NORTH	SLB35.9	SLB35
288.6	17.0	132.0	This study	-21	Extrusive	Lava Flow	0.9	47.52422	Basalt	269.07584	SO-CMD-NORTH	SLB36.1	SLB36
307.3	17.0	132.0	This study	-16	Extrusive	Lava Flow	0.9	47.52422	Basalt	269.07584	SO-CMD-NORTH	SLB36.2	SLB36
355.0	17.0	132.0	This study	-20	Extrusive	Lava Flow	1.0	47.52422	Basalt	269.07584	SO-CMD-NORTH	SLB36.3	SLB36
20.0	17.0	132.0	This study	-16	Extrusive	Lava Flow	1.0	47.52422	Basalt	269.07584	SO-CMD-NORTH	SLB36.4	SLB36
227.0	17.0	132.0	This study	-25	Extrusive	Lava Flow	1.3	47.52422	Basalt	269.07584	SO-CMD-NORTH	SLB36.5	SLB36
161.0	17.0	132.0	This study	-24	Extrusive	Lava Flow	1.5	47.52422	Basalt	269.07584	SO-CMD-NORTH	SLB36.6	SLB36
286.0	17.0	132.0	This study	-26	Extrusive	Lava Flow	1.6	47.52422	Basalt	269.07584	SO-CMD-NORTH	SLB36.7	SLB36
227.0	17.0	132.0	This study	-34	Extrusive	Lava Flow	1.6	47.52422	Basalt	269.07584	SO-CMD-NORTH	SLB36.8	SLB36
159.0	17.0	132.0	This study	-18	Extrusive	Lava Flow	1.7	47.52422	Basalt	269.07584	SO-CMD-NORTH	SLB36.9	SLB36
52.0	17.0	132.0	This study	-21	Extrusive	Lava Flow	1.6	47.52409	Basalt	269.07645	SO-CMD-NORTH	SLB37.1	SLB37
45.0	17.0	132.0	This study	-19	Extrusive	Lava Flow	1.7	47.52409	Basalt	269.07645	SO-CMD-NORTH	SLB37.2	SLB37
42.0	17.0	132.0	This study	-22	Extrusive	Lava Flow	1.7	47.52409	Basalt	269.07645	SO-CMD-NORTH	SLB37.3	SLB37
78.0	17.0	132.0	This study	-8	Extrusive	Lava Flow	1.7	47.52409	Basalt	269.07645	SO-CMD-NORTH	SLB37.4	SLB37
89.0	17.0	132.0	This study	-15	Extrusive	Lava Flow	1.9	47.52409	Basalt	269.07645	SO-CMD-NORTH	SLB37.5	SLB37
25.0	17.0	132.0	This study	-18	Extrusive	Lava Flow	2.1	47.52409	Basalt	269.07645	SO-CMD-NORTH	SLB37.6	SLB37
19.0	17.0	132.0	This study	-32	Extrusive	Lava Flow	2.2	47.52409	Basalt	269.07645	SO-CMD-NORTH	SLB37.7	SLB37
134.0	17.0	132.0	This study	-54	Extrusive	Lava Flow	3.2	47.52409	Basalt	269.07645	SO-CMD-NORTH	SLB37.8	SLB37
121.0	17.0	132.0	This study	-56	Extrusive	Lava Flow	3.4	47.52409	Basalt	269.07645	SO-CMD-NORTH	SLB37.9	SLB37
143.6	17.0	132.0	This study	-39	Extrusive	Lava Flow	1.0	47.524288	Basalt	269.07727	SO-CMD-NORTH	SLB38.1	SLB38
147.8	17.0	132.0	This study	-29	Extrusive	Lava Flow	1.0	47.524288	Basalt	269.07727	SO-CMD-NORTH	SLB38.2	SLB38
175.8	17.0	132.0	This study	-24	Extrusive	Lava Flow	1.1	47.524288	Basalt	269.07727	SO-CMD-NORTH	SLB38.3	SLB38
14.0	17.0	132.0	This study	-16	Extrusive	Lava Flow	1.1	47.524288	Basalt	269.07727	SO-CMD-NORTH	SLB38.4	SLB38
207.4	17.0	132.0	This study	-8	Extrusive	Lava Flow	1.3	47.524288	Basalt	269.07727	SO-CMD-NORTH	SLB38.5	SLB38
150.4	17.0	132.0	This study	-30	Extrusive	Lava Flow	1.2	47.524288	Basalt	269.07727	SO-CMD-NORTH	SLB38.6	SLB38
245.6	17.0	132.0	This study	-30	Extrusive	Lava Flow	1.3	47.524288	Basalt	269.07727	SO-CMD-NORTH	SLB38.7	SLB38
254.4	17.0	132.0	This study	-30	Extrusive	Lava Flow	1.2	47.524288	Basalt	269.07727	SO-CMD-NORTH	SLB38.8	SLB38
2.7	17.0	132.0	This study	-17	Extrusive	Lava Flow	0.2	47.5243	Basalt	269.07745	SO-CMD-NORTH	SLB39.1	SLB39
53.3	17.0	132.0	This study	-57	Extrusive	Lava Flow	0.4	47.5243	Basalt	269.07745	SO-CMD-NORTH	SLB39.2	SLB39
60.9	17.0	132.0	This study	-61	Extrusive	Lava Flow	0.3	47.5243	Basalt	269.07745	SO-CMD-NORTH	SLB39.3	SLB39
128.4	17.0	132.0	This study	-55	Extrusive	Lava Flow	0.5	47.5243	Basalt	269.07745	SO-CMD-NORTH	SLB39.4	SLB39
119.0	17.0	132.0	This study	-80	Extrusive	Lava Flow	0.4	47.5243	Basalt	269.07745	SO-CMD-NORTH	SLB39.5	SLB39
120.6	17.0	132.0	This study	-59	Extrusive	Lava Flow	1.0	47.5243	Basalt	269.07745	SO-CMD-NORTH	SLB39.6	SLB39
111.1	17.0	132.0	This study	-69	Extrusive	Lava Flow	1.1	47.5243	Basalt	269.07745	SO-CMD-NORTH	SLB39.7	SLB39
52.9	17.0	132.0	This study	-45	Extrusive	Lava Flow	0.5	47.5243	Basalt	269.07745	SO-CMD-NORTH	SLB39.8	SLB39
84.0	17.0	132.0	This study	-82	Extrusive	Lava Flow	1.5	47.524349	Basalt	269.07755	SO-CMD-NORTH	SLB40.2	SLB40
88.0	17.0	132.0	This study	-76	Extrusive	Lava Flow	1.4	47.524349	Basalt	269.07755	SO-CMD-NORTH	SLB40.3	SLB40
90.0	17.0	132.0	This study	-74	Extrusive	Lava Flow	1.3	47.524349	Basalt	269.07755	SO-CMD-NORTH	SLB40.4	SLB40
93.0	17.0	132.0	This study	-79	Extrusive	Lava Flow	1.3	47.524349	Basalt	269.07755	SO-CMD-NORTH	SLB40.5	SLB40
91.0	17.0	132.0	This study	-68	Extrusive	Lava Flow	1.3	47.524349	Basalt	269.07755	SO-CMD-NORTH	SLB40.6	SLB40
90.0	17.0	132.0	This study	-75	Extrusive	Lava Flow	1.2	47.524349	Basalt	269.07755	SO-CMD-NORTH	SLB40.7	SLB40
81.0	17.0	132.0	This study	-70	Extrusive	Lava Flow	1.2	47.524349	Basalt	269.07755	SO-CMD-NORTH	SLB40.8	SLB40
83.2	20.0	237.6	This study	-8	Extrusive	Lava Flow	1.8	47.723888	Basalt	274.35172	SO-CMD-NORTH	SS1-1	SS1
86.2	20.0	237.6	This study	-19	Extrusive	Lava Flow	1.9	47.723888	Basalt	274.35172	SO-CMD-NORTH	SS1-2	SS1
200.2	20.0	237.6	This study	-5	Extrusive	Lava Flow	1.9	47.723888	Basalt	274.35172	SO-CMD-NORTH	SS1-3	SS1
38.2	20.0	237.6	This study	-13	Extrusive	Lava Flow	1.9	47.723888	Basalt	274.35172	SO-CMD-NORTH	SS1-4	SS1
104.2	20.0	237.6	This study	-12	Extrusive	Lava Flow	2.0	47.723888	Basalt	274.35172	SO-CMD-NORTH	SS1-5	SS1
153.2	20.0	237.6	This study	-5	Extrusive	Lava Flow	1.9	47.723888	Basalt	274.35172	SO-CMD-NORTH	SS1-6	SS1
100.2	20.0	237.6	This study	-9	Extrusive	Lava Flow	2.0	47.723888	Basalt	274.35172	SO-CMD-NORTH	SS1-7	SS1
17.2	20.0	237.6	This study	-6	Extrusive	Lava Flow	1.7	47.723888	Basalt	274.35172	SO-CMD-NORTH	SS1-8	SS1
67.8	20.0	237.6	This study	-15	Extrusive	Lava Flow	38.1	47.723301	Basalt	274.3511	SO-CMD-NORTH	SS10-1	SS10
114.5	20.0	237.6	This study	-13	Extrusive	Lava Flow	37.9	47.723301	Basalt	274.3511	SO-CMD-NORTH	SS10-2	SS10
326.7	20.0	237.6	This study	-25	Extrusive	Lava Flow	38.7	47.723301	Basalt	274.3511	SO-CMD-NORTH	SS10-3	SS10
315.5	20.0	237.6	This study	-29	Extrusive	Lava Flow	38.8	47.723301	Basalt	274.3511	SO-CMD-NORTH	SS10-4	SS10
65.3	20.0	237.6	This study	-11	Extrusive	Lava Flow	38.1	47.723301	Basalt	274.3511	SO-CMD-NORTH	SS10-5	SS10
73.8	20.0	237.6	This study	-15	Extrusive	Lava Flow	38.1	47.723301	Basalt	274.3511	SO-CMD-NORTH	SS10-6	SS10
89.1	20.0	237.6	This study	-45	Extrusive	Lava Flow	38.0	47.723301	Basalt	274.3511	SO-CMD-NORTH	SS10-7	SS10
81.9	20.0	237.6	This study	-6	Extrusive	Lava Flow	38.2	47.723301	Basalt	274.3511	SO-CMD-NORTH	SS10-8	SS10
282.9	20.0	237.6	This study	-16	Extrusive	Lava Flow	39.9	47.723801	Basalt	274.35049	SO-CMD-NORTH	SS11-1	SS11
186.2	20.0	237.6	This study	-22	Extrusive	Lava Flow	40.0	47.723801	Basalt	274.35049	SO-CMD-NORTH	SS11-2	SS11
257.2	20.0	237.6	This study	-46	Extrusive	Lava Flow	40.1	47.723801	Basalt	274.35049	SO-CMD-NORTH	SS11-3	SS11
