tab 	magic_measurements																							
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-05-16 17:55:43	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.8	314.8		g	-60	5.02E-06	14	1	2.13E-07	1.11E-07	6.47E-08	u	273	0	0	843
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-05-17 14:12:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.8	315.3		g	-59.9	4.36E-06	15	1	1.89E-07	1.01E-07	5.68E-08	u	273	0	0	848
This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-05-18 11:05:45	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.1	317.1		g	-60.1	3.96E-06	16	1	1.33E-07	6.18E-08	4.79E-08	u	273	0	0	853
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-04-08 16:18:40	LT-NO:LP-DIR-T	pmagpy-3.4.0	1.5	246.6		g	-78.2	2.98E-05	1	1	5.23E-07	5.84E-07	2.77E-07	u	273	0	0	273
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-04-11 16:36:24	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	1.5	247.7		g	-78.2	2.88E-05	2	1	4.93E-07	5.83E-07	2.37E-07	u	273	0	0	77
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-04-18 09:23:09	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	247.4		g	-78	2.89E-05	3	1	4.79E-07	5.20E-07	2.70E-07	u	273	0	0	373
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-04-18 16:38:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.3	254.1		g	-78.4	2.96E-05	4	1	4.29E-07	4.70E-07	2.80E-07	u	273	0	0	473
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-04-19 12:25:49	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	258.3		g	-78.5	2.66E-05	5	1	4.48E-07	4.78E-07	2.16E-07	u	273	0	0	573
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-04-25 12:00:57	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	257.8		g	-78.5	1.86E-05	6	1	4.42E-07	3.97E-07	2.78E-07	u	273	0	0	623
This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-04-26 08:56:11	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	257.8		g	-78.7	1.68E-05	7	1	3.60E-07	3.32E-07	2.55E-07	u	273	0	0	673
