name	row_number	problem_type	problem_col	error_message
AP4-6a:LP-DIR-T3	466	type	number	should be string
AP4-6a:LP-DIR-T4	467	type	number	should be string
AP4-6a:LP-DIR-T5	468	type	number	should be string
AP4-6a:LP-DIR-T6	469	type	number	should be string
AP4-6a:LP-DIR-T7	470	type	number	should be string
AP4-6a:LP-DIR-T8	471	type	number	should be string
AP4-6a:LP-DIR-T9	472	type	number	should be string
AP4-6a:LP-DIR-T10	473	type	number	should be string
AP4-6a:LP-DIR-T11	474	type	number	should be string
AP4-6a:LP-DIR-T12	475	type	number	should be string
AP4-6a:LP-DIR-T13	476	type	number	should be string
AP4-6a:LP-DIR-T14	477	type	number	should be string
AP4-6a:LP-DIR-T15	478	type	number	should be string
AP4-6a:LP-DIR-T16	479	type	number	should be string
AP4-7a:LP-DIR-T1	480	type	number	should be string
AP4-7a:LP-DIR-T2	481	type	number	should be string
AP4-7a:LP-DIR-T3	482	type	number	should be string
AP4-7a:LP-DIR-T4	483	type	number	should be string
AP4-7a:LP-DIR-T5	484	type	number	should be string
AP4-7a:LP-DIR-T6	485	type	number	should be string
AP4-7a:LP-DIR-T7	486	type	number	should be string
AP4-7a:LP-DIR-T8	487	type	number	should be string
AP4-7a:LP-DIR-T9	488	type	number	should be string
AP4-7a:LP-DIR-T10	489	type	number	should be string
AP4-7a:LP-DIR-T11	490	type	number	should be string
AP4-7a:LP-DIR-T12	491	type	number	should be string
AP4-7a:LP-DIR-T13	492	type	number	should be string
AP4-7a:LP-DIR-T14	493	type	number	should be string
AP4-7a:LP-DIR-T15	494	type	number	should be string
AP4-7a:LP-DIR-T16	495	type	number	should be string
AP4-8a:LP-DIR-T1	496	type	number	should be string
AP4-8a:LP-DIR-T2	497	type	number	should be string
AP4-8a:LP-DIR-T3	498	type	number	should be string
AP4-8a:LP-DIR-T4	499	type	number	should be string
AP4-8a:LP-DIR-T5	500	type	number	should be string
AP4-8a:LP-DIR-T6	501	type	number	should be string
AP4-8a:LP-DIR-T7	502	type	number	should be string
AP4-8a:LP-DIR-T8	503	type	number	should be string
AP4-8a:LP-DIR-T9	504	type	number	should be string
AP4-8a:LP-DIR-T10	505	type	number	should be string
AP4-8a:LP-DIR-T11	506	type	number	should be string
AP4-8a:LP-DIR-T12	507	type	number	should be string
AP4-8a:LP-DIR-T13	508	type	number	should be string
AP4-8a:LP-DIR-T14	509	type	number	should be string
AP4-8a:LP-DIR-T15	510	type	number	should be string
AP4-8a:LP-DIR-T16	511	type	number	should be string
AP5-1a:LP-DIR-T1	512	type	number	should be string
AP5-1a:LP-DIR-T2	513	type	number	should be string
AP5-1a:LP-DIR-T3	514	type	number	should be string
