tab delimited	locations
citations	continent_ocean	country	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	method_codes	plate_blocks	region	sites	tectonic_settings
This study	North America	USA	Extrusive	47.44393649	46.47915937	Basalt:Quartz Porphyry:Quartzite:Rhyolite	Keweenaw Peninsula:Michigan	Region	-87.94004327	-90.16412176	LT-AF-Z	North American Plate		PL150 : PL50 : PL331 : PL344 : PL51 : PL330 : PL52 : PL323 : PL53 : PL324 : PL335 : PL54 : PL55 : PL56 : PL326 : PL327 : PL57 : PL58 : PL59 : PL60 : PL325 : PL61 : PL343 : PL35 : PL7 : PL6 : PL5 : PL4 : PL3 : PL1 : PL44 : PL333 : PL49 : PL329 : PL43 : PL27 : PL26 : PL25 : PL24 : PL22 : PL20 : PL19 : PL14 : PL13 : PL12 : PL11 : PL10 : PL9 : PL8 : PL32 : PL33 : PL34 : PL340 : PL338 : PL339 : PL342 : PL349 : PL348 : PL347 : PL346 : PL345 : PL158 : PL160 : PL159 : PL157 : PL341 : PL154 : PL153 : PL42 : ER66 : ER67 : ER68 : QP69 : QP71 : QP73 : R36-0 : R36-1 : R36-2 : R36-3 : R36-4 : R36-5 : R36-6 : R36-7 : R62-1 : R62-2 : R62-3 : R62-4 : R62-5 : R62-6 : IB74 : IB75 : IB76 : IB301 : IB303 : IB306 : IB322 : MK216 : MK217 : MK218 : MK219 : MK316 : MK317 : MK318 : MK319 : MK320	Continental Rift
This study	North America	USA	Extrusive	47.822107	47.55559984	Basalt:Andesite:Rhyolite		Region	-90.0612863	-90.87729197	LT-AF-Z	North American Plate		NS254 : NS255 : NS256 : NS263 : NS381 : NS370 : NS382 : NS372 : NS379 : NS371 : NS380 : NS262 : NS261 : NS260 : NS259 : NS258 : NS264 : NS257 : NS377 : NS171 : NS170 : NS169 : NS376 : NS374 : NS369 : NS368 : NS265 : NS367 : NS365 : NS362 : NS226 : NS375 : NS229 : NS227 : NS378 : NS269	Continental Rift
This study	North America	USA	Extrusive	47.8947213	47.88567502	Basalt	Isle Royale:Michigan	Region	-89.19391462	-89.21534223	LT-AF-Z	North American Plate		MK243 : MK244 : MK245 : MK246 : MK247 : MK248 : MK249 : MK250 : MK251	Continental Rift
>>>>>>>>>>
tab delimited	sites
citations	dir_dec	dir_inc	dir_n_samples	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_type	site	formation	site_alternatives	vgp_lat	vgp_lon
This study	284	33	4	n	100	Extrusive	Lava Flow	47.28798041	Basalt	Keweenaw Peninsula:Michigan	-88.40954543	LT-AF-Z	a	PL150	Portage Lake Volcanics		22.51950636	184.0980891
This study	284.2	19.9	5	n	100	Extrusive	Lava Flow	47.26585103	Basalt	Keweenaw Peninsula:Michigan	-88.41569905	LT-AF-Z	a	PL50	Portage Lake Volcanics	Iroquois Flow	17.13489983	178.1983954
This study	281.8	28.8	5	n	100	Extrusive	Lava Flow	47.29269809	Basalt	Keweenaw Peninsula:Michigan	-88.42945971	LT-AF-Z	a	PL333	Portage Lake Volcanics		19.17795371	183.6865311
This study	290.1	27.5	5	n	100	Extrusive	Lava Flow	47.20875577	Basalt	Keweenaw Peninsula:Michigan	-88.43443316	LT-AF-Z	a	PL49	Portage Lake Volcanics		24.25361288	176.9768944
This study	286.1	24.4	3	n	100	Extrusive	Lava Flow	47.3185796	Basalt	Keweenaw Peninsula:Michigan	-88.39288396	LT-AF-Z	a	PL329	Portage Lake Volcanics	Ashbed Flow	20.23960008	178.6218721
This study	293.7	38.1	4	n	100	Extrusive	Lava Flow	47.29160146	Basalt	Keweenaw Peninsula:Michigan	-88.42764661	LT-AF-Z	a	PL43	Portage Lake Volcanics	Ashbed Flow	31.46832908	179.7306788
This study	282.8	41.5	4	n	100	Extrusive	Lava Flow	47.29360067	Basalt	Keweenaw Peninsula:Michigan	-88.41699931	LT-AF-Z	a	PL27	Portage Lake Volcanics		25.7659544	189.5932598
This study	285.9	33.6	5	n	100	Extrusive	Lava Flow	47.29401191	Basalt	Keweenaw Peninsula:Michigan	-88.41861096	LT-AF-Z	a	PL26	Portage Lake Volcanics		24.07925811	183.0104413
This study	279.3	49.7	5	n	100	Extrusive	Lava Flow	47.29332651	Basalt	Keweenaw Peninsula:Michigan	-88.4184095	LT-AF-Z	a	PL25	Portage Lake Volcanics		27.88037346	197.4823528
This study	280.2	35.7	4	n	100	Extrusive	Lava Flow	47.29305235	Basalt	Keweenaw Peninsula:Michigan	-88.41820805	LT-AF-Z	a	PL24	Portage Lake Volcanics		21.19224998	188.1635623
This study	291.4	43.6	6	n	100	Extrusive	Lava Flow	47.2920928	Basalt	Keweenaw Peninsula:Michigan	-88.41800659	LT-AF-Z	a	PL22	Portage Lake Volcanics		32.63902035	184.9522894
This study	295.3	40.2	5	n	100	Extrusive	Lava Flow	47.29195572	Basalt	Keweenaw Peninsula:Michigan	-88.41720077	LT-AF-Z	a	PL20	Portage Lake Volcanics		33.57356051	179.8441741
This study	299	31.7	3	n	100	Extrusive	Lava Flow	47.2914074	Basalt	Keweenaw Peninsula:Michigan	-88.41710004	LT-AF-Z	a	PL19	Portage Lake Volcanics		32.07334295	172.0555512
This study	294.7	32	5	n	100	Extrusive	Lava Flow	47.28955683	Basalt	Keweenaw Peninsula:Michigan	-88.41699931	LT-AF-Z	a	PL14	Portage Lake Volcanics		29.31873569	175.6058032
This study	296.9	28.2	5	n	100	Extrusive	Lava Flow	47.28948829	Basalt	Keweenaw Peninsula:Michigan	-88.41679786	LT-AF-Z	a	PL13	Portage Lake Volcanics		29.12339641	171.9982461
This study	297.8	33.6	5	n	100	Extrusive	Lava Flow	47.28914559	Basalt	Keweenaw Peninsula:Michigan	-88.41669713	LT-AF-Z	a	PL12	Portage Lake Volcanics		32.13157917	174.0255776
This study	293.6	30.3	5	n	100	Extrusive	Lava Flow	47.28910446	Basalt	Keweenaw Peninsula:Michigan	-88.4165964	LT-AF-Z	a	PL11	Portage Lake Volcanics		27.82222889	175.6035635
This study	293.6	33.7	5	n	100	Extrusive	Lava Flow	47.28907705	Basalt	Keweenaw Peninsula:Michigan	-88.41649567	LT-AF-Z	a	PL10	Portage Lake Volcanics		29.34384483	177.3404554
This study	297.6	40.8	4	n	100	Extrusive	Lava Flow	47.28935121	Basalt	Keweenaw Peninsula:Michigan	-88.41639494	LT-AF-Z	a	PL9	Portage Lake Volcanics		35.42895354	178.5039283
This study	297.1	45.5	5	n	100	Extrusive	Lava Flow	47.28893997	Basalt	Keweenaw Peninsula:Michigan	-88.41639494	LT-AF-Z	a	PL8	Portage Lake Volcanics		37.48892251	182.2526397
