tab 	specimens
citations	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_tilt_correction	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	specimen
This study	107.4	-46.2	0.5	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.07	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2c-3.0	SI2c-3.0a
This study	113.5	-51.6	0.7	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2c-3.15	SI2c-3.15a
This study	111.7	-46.7	0.2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.07	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2c-4.7	SI2c-4.7a
This study	113.2	-47.8	0.6	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.07	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2c-4.8	SI2c-4.8a
This study	112.3	-44.4	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.07	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI2c-6.3	SI2c-6.3a
This study	87.5	-74.7	1.1	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-103.4	SI3-103.4-D
This study	76.4	-73.2	1.5	5	100	Extrusive:Igneous	Lava Flow	Basalt	0.17	0.08	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-103.5	SI3-103.5-D
This study	90.0	-66.6	1.1	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-103.9	SI3-103.9-D
This study	81.6	-69.5	0.8	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-103.95	SI3-103.95-D
This study	87.8	-55	0.2	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-104.3	SI3-104.3-D
This study	77.1	-69.1	0.7	9	100	Extrusive:Igneous	Lava Flow	Basalt	0.145	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-104.4	SI3-104.4-D
This study	128.7	-74.2	1.5	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-12.95	SI3-12.95-D
This study	87.7	-67.9	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-126.9	SI3-126.9-D
This study	80.4	-67.2	0.5	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-127.1	SI3-127.1-D
This study	89.1	-63	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-127.3	SI3-127.3-D
This study	78.6	-57	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-129.3	SI3-129.3-D
This study	73.2	-62.7	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-129.45	SI3-129.45-D
This study	125.8	-73.7	0.2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-13.05	SI3-13.05-D
This study	106.8	-71.2	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-16.3	SI3-16.3-D
This study	125.3	-69.7	0.7	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-16.4	SI3-16.4-D
This study	87.2	-68.5	0.7	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.145	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-18.75	SI3-18.75-D
This study	71.3	-78.8	2.9	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.145	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-19.9	SI3-19.9-D
This study	110.1	-71.9	0.1	9	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-20.40	SI3-20.4-D
This study						Igneous:Extrusive	Lava Flow	Basaltic Lava					SI3-20.40	SI3-20.40a
This study	116.7	-67.8	0.4	9	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-20.45	SI3-20.45-D
This study						Extrusive:Igneous	Lava Flow	Basalt					SI3-20.45	SI3-20.45a
This study						Igneous:Extrusive	Lava Flow	Basaltic Lava					SI3-21.30	SI3-21.30a
This study	109.3	-71.8	0.5	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-21.35	SI3-21.35-D
This study						Igneous:Extrusive	Lava Flow	Basaltic Lava					SI3-22.30	SI3-22.30a
This study	111.5	-69.6	0.6	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-22.35	SI3-22.35-D
This study						Extrusive:Igneous	Lava Flow	Basalt					SI3-22.35	SI3-22.35a
This study	107.9	-71.6	0.7	9	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-22.60	SI3-22.6-D
This study						Igneous:Extrusive	Lava Flow	Basaltic Lava					SI3-22.60	SI3-22.60a
This study	109.5	-69.1	0.7	9	100	Extrusive:Igneous	Lava Flow	Basalt	0.07	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-22.65	SI3-22.65a
This study	104.0	-73.2	0.6	9	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-27.90	SI3-27.9-D
This study	100.2	-72.6	0.6	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-27.90	SI3-27.90a
This study	147.5	-73.7	1.2	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-3.60	SI3-3.6-D
This study	142.7	-71.8	0.8	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-3.60	SI3-3.60a
This study	134.8	-71.5	0.2	9	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-3.70	SI3-3.7-D
This study	142.6	-67.2	1.4	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-3.70	SI3-3.70a
This study	96.6	-61.9	0.4	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-37.80	SI3-37.8-D
This study	94.3	-65.5	0.6	7	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-37.80	SI3-37.80a
This study	121.4	-72.1	0.6	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-37.85	SI3-37.85-D
This study	114.8	-68.5	0.7	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-37.85	SI3-37.85a
This study	87.3	-74.7	0.2	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-38.70	SI3-38.7-D
This study	88.3	-70.8	0.3	10	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-38.70	SI3-38.70a
This study	96.7	-72.2	0.4	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-38.80	SI3-38.8-D
This study	88.6	-66.4	0.3	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-38.80	SI3-38.80a
This study	99.3	-72.5	0.3	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-39.80	SI3-39.8-D
This study	118.9	-75.6	0.2	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-39.80	SI3-39.80a
This study	93.7	-70.8	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-39.82	SI3-39.82-D
This study	103.1	-70.5	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-39.82	SI3-39.82a
This study	132.6	-71.5	0.8	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-4.10	SI3-4.1-D
This study	122.1	-65.2	1.1	7	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-4.10	SI3-4.10a
This study	134.3	-64.1	1	7	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-4.20	SI3-4.2-D
This study	123.3	-56.3	1.2	6	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-4.20	SI3-4.20a
This study	147.9	-70	0.5	7	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-4.60	SI3-4.6-D
This study	140.0	-74.5	0.8	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.09	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-4.60	SI3-4.60a
This study	135.3	-71.5	0.6	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-4.7	SI3-4.7-D
This study	136.7	-69.7	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-5.6	SI3-5.6-D
This study	117.1	-70.8	0.3	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-58.00	SI3-58.0-D
This study	117.2	-71.6	0.4	7	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-58.00	SI3-58.00a
This study	115.5	-70.4	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-58.02	SI3-58.02-D
This study	106.3	-73.2	0.3	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-58.02	SI3-58.02a
This study	90.4	-65	0.6	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-58.04	SI3-58.04-D
This study	90.9	-65.2	0.5	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-58.04	SI3-58.04a
This study	97.3	-69	0.4	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-59.70	SI3-59.7-D
This study	93.5	-69.1	0.9	6	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.05	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-59.70	SI3-59.70a
This study	121.8	-73.1	0.6	7	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-59.80	SI3-59.8-D
This study	124.5	-71.2	0.4	6	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-59.80	SI3-59.80a
This study	106.9	-73	0.7	7	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-59.90	SI3-59.9-D
This study	98.3	-72.5	0.4	6	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-59.80	SI3-59.90a
This study	143.8	-72.1	0.4	9	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-6.4	SI3-6.4-D
This study	125.5	-72.3	1.1	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.14	0.05	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-7.05	SI3-7.05a
This study	122.6	-74.5	0.4	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.07	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-7.20	SI3-7.20a
This study	136.9	-75	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-7.25	SI3-7.25-D
This study	109.2	-73.2	1.9	9	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.14	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-7.30	SI3-7.30a
This study	161.2	-75.2	0.3	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-8.30	SI3-8.30a
This study	110.4	-62	0.5	7	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.06	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-8.80	SI3-8.8-D
This study	104.9	-64.1	0.4	7	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.07	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-8.80	SI3-8.80a
This study	121.7	-71.3	0.4	8	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-9.60	SI3-9.6-D
This study	122.4	-70	0.5	10	100	Igneous:Extrusive	Lava Flow	Basaltic Lava	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-9.60	SI3-9.60a
This study	124.5	-73.6	0.5	9	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-9.63	SI3-9.63-D
This study	284.9	45	2	7	100	Igneous:Intrusive	Dike	Diabase	0.05	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-D10	SI3-D10a
This study	286.6	55.7	1.8	7	100	Igneous:Intrusive	Dike	Diabase	0.04	0.008	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-D1	SI3-D1a
This study	288.8	56	1	7	100	Igneous:Intrusive	Dike	Diabase	0.04	0.008	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-D2	SI3-D2a
This study	278.9	50.2	1.3	7	100	Igneous:Intrusive	Dike	Diabase	0.03	0.005	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-D4	SI3-D4a
This study	295.0	55.1	0.7	7	100	Igneous:Intrusive	Dike	Diabase	0.03	0.005	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-D5	SI3-D5a
This study	293.8	56.5	0.7	7	100	Igneous:Intrusive	Dike	Diabase	0.04	0.008	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-D6	SI3-D6a
This study	287.2	55.4	1.4	7	100	Igneous:Intrusive	Dike	Diabase	0.04	0.008	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-D7	SI3-D7a
This study	284.5	47.8	1.2	7	100	Igneous:Intrusive	Dike	Diabase	0.04	0.008	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI3-D9	SI3-D9a
This study	125.0	-72.5	0.6	9	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-1.9	SI4-1.9a
This study	128.4	-59.7	0.5	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-108.00	SI4-108.00a
This study	132.0	-57.5	0.4	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-109.20	SI4-109.20a
This study	127.7	-54.8	0.5	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-109.21	SI4-109.21a
This study	125.4	-54.9	0.3	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-109.40	SI4-109.40a
This study	114.0	-56.4	0.4	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-111.40	SI4-111.40a
This study	107.8	-53.9	0.3	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-113.40	SI4-113.40a
This study	110.4	-57.9	0.1	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-113.50	SI4-113.50a
This study	104.2	-41.7	0.3	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-113.60	SI4-113.60a
This study	109.1	-49.6	0.5	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-122.80	SI4-122.80a
This study	119.2	-51.9	0.5	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-123.10	SI4-123.10a
This study	108.9	-52.8	0.7	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-123.65	SI4-123.65a
This study	108.5	-51.2	0.7	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-123.70	SI4-123.70a
This study	108.5	-55.6	0.3	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-123.80	SI4-123.80a
This study	114.6	-40.8	1	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-123.81	SI4-123.81a
This study	72.6	-45.1	0.3	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-124.05	SI4-124.05a
This study	110.9	-54	0.4	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-124.10	SI4-124.10a
This study	112.5	-54.8	0.5	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-138.60	SI4-138.60a
This study	104.7	-62.8	0.3	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-138.70	SI4-138.70a
This study	103.0	-62.4	0.5	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-139.20	SI4-139.20a
This study	74.2	-53	0.3	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-139.80	SI4-139.80a
This study	115.1	-62	0.4	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-139.81	SI4-139.81a
This study	115.7	-75.8	0.6	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-14.0	SI4-14.0a
This study	95.3	-59.3	1	9	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.008	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-140.80	SI4-140.80a
This study	116.9	-54.4	1.7	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-140.85	SI4-140.85a
This study	120.2	-66.6	1.2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-141.30	SI4-141.30a
This study	114.1	-71.7	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-15.1	SI4-15.1a
This study	106.6	-71.7	0.9	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-15.7	SI4-15.7a
This study	154.3	-55.6	0.5	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-161.10	SI4-161.10a
This study	156.5	-66.3	0.6	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-161.21	SI4-161.21a
This study	151.6	-63.7	0.6	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-161.22	SI4-161.22a
This study	157.1	-62.8	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-161.23	SI4-161.23a
This study	154.9	-67.1	0.6	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-162.00	SI4-162.00a
This study	156.1	-59.7	0.8	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-162.11	SI4-162.11a
This study	150.5	-63	0.7	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.01	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-162.12	SI4-162.12a
This study	130.1	-58.5	0.6	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-162.20	SI4-162.20a
This study	113.6	-75.3	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-18.5	SI4-18.5a
This study	109.6	-70.5	0.5	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-18.7	SI4-18.7a
This study	110.2	-70.2	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-18.9	SI4-18.9a
This study	131.3	-73.6	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-2.5	SI4-2.5a
This study	91.5	-72.4	0.4	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-23.0	SI4-23.0a
This study	94.7	-65.6	0.4	10	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-24.1	SI4-24.1a
This study	106.9	-75.8	0.2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.07	0.015	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI4-24.7	SI4-24.7a
