tab 	samples
azimuth	citations	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	sample	site	specimens
176.0	This study	oriented core	-19	311.7	42	1	1	100	Igneous:Intrusive	Sill	48.8078	Diabase	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-86.4	SI1(69.7 to 87.6)	SI1-86.4-D
162.0	This study	oriented core	-72	90.9	-72.8	1	1	100	Extrusive:Igneous	Lava Flow	48.8073	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-88.25	SI1(87.6 to 88.5)	SI1-88.25-D
165.0	This study	oriented core	-75						Extrusive:Igneous	Lava Flow	48.8073	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-88.3	SI1(87.6 to 88.5)	
159.0	This study	oriented core	-72	86.7	-73.8	1	1	100	Extrusive:Igneous	Lava Flow	48.8073	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-88.35	SI1(87.6 to 88.5)	SI1-88.35-D
275.0	This study	oriented core	-77	99.6	-70.9	1	1	100	Extrusive:Igneous	Lava Flow	48.8073	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-88.37	SI1(87.6 to 88.5)	SI1-88.37-D
277.0	This study	oriented core	-80	84.5	-70.4	1	1	100	Extrusive:Igneous	Lava Flow	48.8073	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-88.4	SI1(87.6 to 88.5)	SI1-88.4-D
274.0	This study	oriented core	-83	86.3	-70.6	1	1	100	Extrusive:Igneous	Lava Flow	48.8073	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-88.43	SI1(87.6 to 88.5)	SI1-88.43-D
221.0	This study	oriented core	-83	95.7	-73	1	1	100	Extrusive:Igneous	Lava Flow	48.8071	Basalt	272.3381	FS-FD:SO-CMD-NORTH:SO-POM	SI1-88.55	SI1(88.5 to 89.2)	SI1-88.55-D
179.0	This study	oriented core	-84	91.2	-72.7	1	1	100	Extrusive:Igneous	Lava Flow	48.8071	Basalt	272.3381	FS-FD:SO-CMD-NORTH:SO-POM	SI1-88.9	SI1(88.5 to 89.2)	SI1-88.9-D
173.0	This study	oriented core	-90	92.8	-68.9	1	1	100	Extrusive:Igneous	Lava Flow	48.8071	Basalt	272.3381	FS-FD:SO-CMD-NORTH:SO-POM	SI1-88.93	SI1(88.5 to 89.2)	SI1-88.93-D
170.0	This study	oriented core	-92	80.1	-74.3	1	1	100	Extrusive:Igneous	Lava Flow	48.8071	Basalt	272.3381	FS-FD:SO-CMD-NORTH:SO-POM	SI1-88.97	SI1(88.5 to 89.2)	SI1-88.97-D
171.0	This study	oriented core	-92	98.7	-68.8	1	1	100	Extrusive:Igneous	Lava Flow	48.8071	Basalt	272.3381	FS-FD:SO-CMD-NORTH:SO-POM	SI1-89.0	SI1(88.5 to 89.2)	SI1-89.0-D
176.0	This study	oriented core	-87	78.7	-63.9	1	1	100	Extrusive:Igneous	Lava Flow	48.8071	Basalt	272.3381	FS-FD:SO-CMD-NORTH:SO-POM	SI1-89.15	SI1(88.5 to 89.2)	SI1-89.15-D
250.0	This study	oriented core	-68	102.0	-69.6	1	1	100	Extrusive:Igneous	Lava Flow	48.807	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-89.25	SI1(89.2 to 91.5)	SI1-89.25-A
215.0	This study	oriented core	-87	94.6	-61.4	1	1	100	Extrusive:Igneous	Lava Flow	48.807	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-89.92	SI1(89.2 to 91.5)	SI1-89.92-A
215.0	This study	oriented core	-85	89.0	-62	1	1	100	Extrusive:Igneous	Lava Flow	48.807	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-90.0	SI1(89.2 to 91.5)	SI1-90.0-A
209.0	This study	oriented core	-97	82.4	-66	1	1	100	Extrusive:Igneous	Lava Flow	48.807	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-90.05	SI1(89.2 to 91.5)	SI1-90.05-A
332.0	This study	oriented core	-93	56.4	-74.3	1	1	100	Extrusive:Igneous	Lava Flow	48.807	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-91.1	SI1(89.2 to 91.5)	SI1-91.1-A
259.0	This study	oriented core	-85	124.7	-52.7	1	1	100	Extrusive:Igneous	Lava Flow	48.807	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-91.2	SI1(89.2 to 91.5)	SI1-91.2-A
239.0	This study	oriented core	-77	74.1	-67.6	1	1	100	Extrusive:Igneous	Lava Flow	48.8069	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-91.6	SI1(91.5 to 92.6)	SI1-91.6-A
262.0	This study	oriented core	-86	85.7	-68.3	1	1	100	Extrusive:Igneous	Lava Flow	48.8069	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-91.61	SI1(91.5 to 92.6)	SI1-91.61-A
252.0	This study	oriented core	-59	85.2	-71	1	1	100	Extrusive:Igneous	Lava Flow	48.8069	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-91.64	SI1(91.5 to 92.6)	SI1-91.64-A
242.0	This study	oriented core	-68	92.2	-69.3	1	1	100	Extrusive:Igneous	Lava Flow	48.8069	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-91.67	SI1(91.5 to 92.6)	SI1-91.67-A
250.0	This study	oriented core	-60						Extrusive:Igneous	Lava Flow	48.8069	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-91.7	SI1(91.5 to 92.6)	
247.0	This study	oriented core	-31	85.1	-70.7	1	1	100	Extrusive:Igneous	Lava Flow	48.8069	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-91.75	SI1(91.5 to 92.6)	SI1-91.75-A
163.0	This study	oriented core	-90	77.1	-63.6	1	1	100	Extrusive:Igneous	Lava Flow	48.8069	Basalt	272.3382	FS-FD:SO-CMD-NORTH:SO-POM	SI1-92.0	SI1(91.5 to 92.6)	SI1-92.0-A
194.0	This study	oriented core	-29	86.6	-74.3	1	1	100	Extrusive:Igneous	Lava Flow	48.8068	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-94.57	SI1(94.3 to 94.9)	SI1-94.57a
201.0	This study	oriented core	-20	105.1	-73.9	1	1	100	Extrusive:Igneous	Lava Flow	48.8068	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-94.6	SI1(94.3 to 94.9)	SI1-94.6a
209.0	This study	oriented core	-40						Extrusive:Igneous	Lava Flow	48.8068	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-94.64	SI1(94.3 to 94.9)	
188.0	This study	oriented core	-47	111.7	-74.5	1	1	100	Extrusive:Igneous	Lava Flow	48.8068	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-94.67	SI1(94.3 to 94.9)	SI1-94.67a
255.0	This study	oriented core	-33	80.6	-69.9	1	1	100	Extrusive:Igneous	Lava Flow	48.8068	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-94.7	SI1(94.3 to 94.9)	SI1-94.7a
191.0	This study	oriented core	-43	89.4	-77.6	1	1	100	Extrusive:Igneous	Lava Flow	48.8068	Basalt	272.338	FS-FD:SO-CMD-NORTH:SO-POM	SI1-94.8	SI1(94.3 to 94.9)	SI1-94.8a
10.8	This study	oriented core	-13	80.1	-76.4	1	1	100	Extrusive:Igneous	Lava Flow	48.8066	Basalt	272.3379	FS-FD:SO-CMD-NORTH:SO-POM	SI1-95	SI1(94.9 to 96.6)	SI1-95a
11.0	This study	oriented core	-13						Extrusive:Igneous	Lava Flow	48.8066	Basalt	272.3379	FS-FD:SO-CMD-NORTH:SO-POM	SI1-95.0	SI1(94.9 to 96.6)	
